iso3,admin,continent,ncell,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,fire_resid,gdp_resid
ZWE,Zimbabwe,Africa,135,13.461340358211304,666.025764871068,21.940867758842778,0.3123016083355093,1154.1388039771705,0.5979712916884936,-0.30414984266107803
ZMB,Zambia,Africa,249,50.491651407400624,969.2710218632475,22.54979443091972,0.5982565457811801,1159.2876478976527,1.0798557004569047,-0.3265237722480778
YEM,Yemen,Asia,155,0.007787727867317439,174.46661937955233,23.29000885728908,0.045438810968352325,935.0115655608926,-2.2335580529553116,-0.3052169271392353
VNM,Vietnam,Asia,113,11.682658657145547,1778.9482587152202,24.135190956199832,1.840832762224067,1797.6074479776137,0.33586021336690375,-0.19372841690170928
VEN,Venezuela,South America,292,5.575095862563933,1976.2690667943514,25.627302450016092,2.2569520326849832,6562.977252179936,-0.05901141636552387,0.3995003657968512
VUT,Vanuatu,Oceania,3,0.030606893324464132,988.3269350783902,8.15655961005051,0.7019996530076359,2699.199492863053,-1.3856665010399472,-0.5389174986567022
UZB,Uzbekistan,Asia,194,0.9581135216915305,175.43741131366818,9.380024199335843,0.0006068931812358868,1667.1932802027573,0.9188336911405616,-0.4918090126085093
URY,Uruguay,South America,70,1.5790602908965843,1304.0460627794287,18.552518066994036,2.517988229755473,12175.972521421336,-0.25751535141881465,0.2851406245381498
PRI,Puerto Rico,North America,3,0.7195762624420848,2255.971372477214,24.934551493326822,2.430721596100281,25911.46341985121,-0.8983447095800806,0.9793488907733066
USA,United States of America,North America,4456,0.7385448117391097,688.0423557300221,9.618568483428657,0.44955652199875695,50842.81771956019,-0.031450301639173034,0.8091980547800608
GBR,United Kingdom,Europe,133,0.2908584815438726,1150.6353161848388,8.730245787705803,0.8845607437603453,41434.499874516034,-0.45050979622352283,0.6518285972424009
ARE,United Arab Emirates,Asia,23,0.0017259548128199028,7.66350828618794,4.916981974590153,6.910646690038924e-06,42678.54665562461,1.3789034323429217,-0.20376005306007805
UKR,Ukraine,Europe,289,7.203214941548458,558.8903461765454,9.342085248479904,0.3569806482986936,2664.3218231201186,1.0131209102361483,-0.4783626263160965
UGA,Uganda,Africa,81,20.888890899692953,971.385540128954,19.27972812648244,0.3906138605066196,619.0414928038316,0.8828216700164582,-0.6450628443396633
TKM,Turkmenistan,Asia,195,0.7381417284525906,94.28620060243993,9.903917882911507,7.27043178143954e-05,3749.208247243479,1.3193806261196475,-0.40641095778947367
TUR,Turkey,Asia,325,1.922356040587126,591.3584704429386,11.418400657459145,0.3715787154964603,9086.446018126839,0.3188189165816484,0.13710625235768914
TUN,Tunisia,Africa,61,0.16590308197058218,258.13392357784784,17.894789275937832,0.06429970566207133,3645.3595388474123,-0.7937888050668416,0.10182842692548366
TGO,Togo,Africa,18,60.49974600513775,1227.3913480838714,27.452545445042137,1.1476527059673944,751.6621238769922,0.8739388334870856,-0.41403021659033135
TLS,East Timor,Asia,6,3.64681543672282,1342.2979645534258,24.288365317181082,1.198383244295871,923.8040336652633,-0.18018710640530622,-0.4374129311353938
THA,Thailand,Asia,173,14.65996267924831,1607.4726229999899,26.75815229351825,1.3229981683011465,4752.362017175577,0.2972877103772592,0.3833144662678354
