iso3,admin,continent,burned_frac_pct,p_ann,t_air,gpp,f_past,f_scnd,f_human,gdp_pcap
ZWE,Zimbabwe,Africa,13.461340358211304,638.8724393696995,22.03001220856536,0.31362600239515254,0.31544125169290077,0.16040554775020605,0.4758467994431068,1154.1388039771705
ZMB,Zambia,Africa,50.491651407400624,972.9424515376119,22.592099358319924,0.6098032348181724,0.25903321682185043,0.11391265199995883,0.37294586882180925,1159.2876478976527
YEM,Yemen,Asia,0.007787727867317439,171.9766041103107,23.285356459395267,0.0471991038184224,0.5033582545308851,0.37300327295779256,0.8763615274886777,935.0115655608926
VNM,Vietnam,Asia,11.682658657145547,1775.5112848116914,24.138195239377986,1.8139964807772881,0.0236959315614516,0.257475798631304,0.2811717301927556,1797.6074479776137
VEN,Venezuela,South America,5.575095862563933,1949.7463595420215,25.66802586289025,2.2683094728071347,0.2099380528582848,0.07188228540853026,0.2818203382668151,6562.977252179936
VUT,Vanuatu,Oceania,0.030606893324464132,998.7390824507535,8.154634477365752,0.6989683043983165,0.0036397779604324045,0.047767185274667785,0.05140696323510019,2699.199492863053
UZB,Uzbekistan,Asia,0.9581135216915305,175.04330935508622,9.37633328243193,0.0007115493234542778,0.3369328916776923,0.04461354520523901,0.38154643688293133,1667.1932802027573
URY,Uruguay,South America,1.5790602908965843,1308.740210820989,18.585299455331317,2.5628396532582998,0.6898705944206097,0.11833177790603916,0.8082023723266489,12175.972521421336
PRI,Puerto Rico,North America,0.7195762624420848,2318.130867004395,24.894289758470325,2.4854925557009526,0.1774777964456007,0.38255261257290846,0.5600304090185091,25911.46341985121
USA,United States of America,North America,0.7385448117391097,689.2663713087495,9.659867857266368,0.4549174997911544,0.26595115474392567,0.24933637846990603,0.5152875332138317,50842.81771956019
GBR,United Kingdom,Europe,0.2908584815438726,1135.2381942415172,8.72006224011081,0.9085883033380232,0.4210904695600946,0.2049960903865209,0.6260865599466154,41434.499874516034
ARE,United Arab Emirates,Asia,0.0017259548128199028,7.359894120285996,4.91314880653411,7.796875301116069e-06,0.003477350050398528,0.16926756225440626,0.1727449123048048,42678.54665562461
UKR,Ukraine,Europe,7.203214941548458,555.6390650484932,9.442815290825886,0.35867727075334577,0.12727430409456103,0.10408299331821398,0.231357297412775,2664.3218231201186
UGA,Uganda,Africa,20.888890899692953,979.363033968178,19.335398728846982,0.36838524983927096,0.21079311237923193,0.25815481100636345,0.4689479233855954,619.0414928038316
TKM,Turkmenistan,Asia,0.7381417284525906,96.32625209719026,9.889738735016216,8.249894811469662e-05,0.3861973100699552,0.028009692639297732,0.414207002709253,3749.208247243479
TUR,Turkey,Asia,1.922356040587126,594.973684967529,11.482204436350969,0.38047278318182526,0.1598479569981098,0.17764951551314015,0.33749747251124995,9086.446018126839
TUN,Tunisia,Africa,0.16590308197058218,260.7939626383564,17.909710525143073,0.06833684233030449,0.29555591333600084,0.2580853937273787,0.5536413070633796,3645.3595388474123
TGO,Togo,Africa,60.49974600513775,1228.1061881428393,27.493600192819102,1.158292221195924,0.07797726926178146,0.6270563538125075,0.705033623074289,751.6621238769922
TLS,East Timor,Asia,3.64681543672282,1337.186823815759,24.32206181867937,1.1939991740969655,0.12792612556450575,0.20650743885421316,0.3344335644187189,923.8040336652633
THA,Thailand,Asia,14.65996267924831,1610.309554376792,26.775206624166366,1.3166295732594413,0.017847487634290272,0.1599255513324655,0.17777303896675578,4752.362017175577
TZA,United Republic of Tanzania,Africa,22.640131810594873,818.4020844078003,21.26307497795545,0.8509057330807634,0.24678041203109613,0.1592936244648317,0.4060740364959278,749.3145919799811
TJK,Tajikistan,Asia,0.277870881521974,562.4809097657125,2.7666925499203665,0.03077799651132352,0.21878388236575705,0.24231304932462236,0.4610969316903794,663.1430656861066
SYR,Syria,Asia,1.4572827156805124,287.83823388591725,19.325573809057545,0.04602414313347149,0.42805302127316774,0.267020097368243,0.6950731186414107,1491.0718846289
CHE,Switzerland,Europe,0.0901319445975429,806.0497533805027,5.074993416650938,0.5403222669092197,0.19234191772320516,0.38341187895435325,0.5757537966775584,73437.23983928331
SWE,Sweden,Europe,0.09492097181366836,613.7547602494143,2.9918953716227676,0.7424912109068083,0.01047903480641525,0.7320812815880301,0.7425603163944453,49435.36155909083
SWZ,eSwatini,Africa,13.231941710927808,737.0153464290556,20.04217783820477,1.1683512282228288,0.6189135688941059,0.25801244014241337,0.8769260090365192,3216.2501124377095
SUR,Suriname,South America,0.29023062663271504,2185.0989933140704,25.111783990639452,2.6768065408070556,0.0009850058140119368,0.0073952758745004085,0.008380281688512346,5923.352629300511
SSD,South Sudan,Africa,64.8539548977347,991.6692644629876,29.11675652287024,0.2223542322621173,0.6649230364748674,0.1258787963160479,0.7908018327909153,1375.87731816094
SDN,Sudan,Africa,6.449702451575964,247.68812672430496,28.494004420058054,0.004889605184044993,0.37014630295405987,0.21193309858813028,0.5820794015421902,990.6832443237308
LKA,Sri Lanka,Asia,5.047721605637182,1657.2303199179464,25.303788614383883,1.6295155953117928,0.061687663357663534,0.310995392956872,0.3726830563145355,2687.747833704595
ESP,Spain,Europe,0.819114422671206,618.3507886921309,13.46431992820541,0.7450679186595057,0.20202124818407705,0.24626071160808885,0.4482819597921659,27647.638466123055
KOR,South Korea,Asia,0.5695542063184099,1298.3471078762357,11.115025723169795,1.36412062857201,0.004308070530851177,0.49509418350014367,0.49940225403099486,25055.173159573365
ZAF,South Africa,Africa,4.347093583438609,454.8345221791433,19.013364855383532,0.35776119880516216,0.6857492603398893,0.18242574388333496,0.8681750042232242,6108.992158873371
SOM,Somalia,Africa,0.41944674314197833,296.4941191911894,27.459339454942807,0.06284042395237968,0.508178387152146,0.4437080937323595,0.9518864808845056,394.0022729282733
SLB,Solomon Islands,Oceania,0.003376099967334322,2245.9698847053833,18.342905453757254,0.8763179245589864,0.003044980372690092,0.04671131432674622,0.04975629469943631,1663.010987526577
SVK,Slovakia,Europe,0.39351126208257087,791.4963179011819,8.541322423901653,0.5816308956052514,0.10659116648074637,0.5893291529590962,0.6959203194398426,14543.799761824843
SVN,Slovenia,Europe,0.07914021783671307,1408.9271281153963,9.516616296383653,1.4317835556811325,0.13577086952544776,0.7434537061841411,0.8792245757095889,21377.850923105412
SLE,Sierra Leone,Africa,52.98171601571993,2591.1747957530342,26.194545748561506,1.3688374823804264,0.3060807871726981,0.23617043522219727,0.5422512223948954,717.6939209856172
SRB,Republic of Serbia,Europe,3.8777359556507185,779.628338813787,11.81633098547672,0.8860326918645607,0.10865535471432455,0.41709786181100583,0.5257532165253304,5706.749128032643
SEN,Senegal,Africa,28.89611476051945,744.9678149810622,29.069723744649735,0.08718057985212685,0.23374870645948445,0.6488271986637557,0.8825759051232401,1193.8134191662566
SAU,Saudi Arabia,Asia,0.01654751544062642,73.75152369784556,19.892359490252414,4.9219227804614274e-06,0.5433063219630316,0.21862082420358145,0.7619271461666131,21224.293090531002
RWA,Rwanda,Africa,4.444416243330464,869.7880240351187,16.097372802855464,0.47554839819995703,0.16837477881092444,0.09736360866937528,0.2657383874802997,555.0620345171
RUS,Russia,Europe,2.6459136863355006,437.09991960984235,-2.3832992858086555,0.3695830161953558,0.050051501180371855,0.34108983052458475,0.3911413317049566,9242.258410644532
ROU,Romania,Europe,3.0194033827535063,668.9074718545658,10.25877474472627,0.6327432305688346,0.18860455461758355,0.23974376904045752,0.4283483236580411,8085.148835988733
QAT,Qatar,Asia,0.001276166652168859,37.80286161854465,18.119002067162846,0.00011030512549029079,0.022810766332002047,0.2326264132535996,0.25543717958560164,66076.44395369657
PRT,Portugal,Europe,2.258894901425854,801.0623682600806,14.410932167316297,1.1730410603627224,0.17754110671252116,0.25645965007758575,0.4340007567901069,20403.78613771193
POL,Poland,Europe,0.352420377255421,602.5260453444308,8.874265021116567,0.6570986269630429,0.06362383072943614,0.6013964446901536,0.6650202754195897,11538.347331598115
PHL,Philippines,Asia,3.8376101647120966,2551.561244825617,24.568226010860176,1.5961824716414377,0.04495568962264505,0.30474716527926193,0.349702854901907,2191.696265631922
PER,Peru,South America,0.8334893127006572,1619.9327526428556,18.978043873095192,2.2284548287815205,0.12538805115173352,0.08155195182496776,0.2069400029767013,4823.012563633097
PRY,Paraguay,South America,9.845439305923131,1156.5043129248113,24.645396288072924,1.0627688300764147,0.3001122170659321,0.07680187284815854,0.37691408991409064,4336.152431537406
PNG,Papua New Guinea,Oceania,0.9143055179703943,3082.0023695944265,22.980489656784435,3.4370494786380177,0.004282623978000174,0.12620408042304793,0.1304867044010481,1785.7041060178854
PAN,Panama,North America,3.1873994095852827,2409.9577566556686,25.01595427116598,2.548498606730907,0.1959869687108474,0.08577705013260722,0.2817640188434546,9703.74818242426
PAK,Pakistan,Asia,2.0228145945489,247.00905835341402,17.359980892534676,0.036182591244688964,0.04236725627192468,0.5138098441156982,0.5561771003876229,1089.4818223767384
OMN,Oman,Asia,0.0031109278239206946,47.64464353100921,25.826738632667457,0.00367214892967202,0.04113517098197645,0.8602505430123898,0.9013857139943663,18438.054312234945
NOR,Norway,Europe,0.05129987322533527,795.7898093041737,1.7552823280931478,0.4960498183804283,0.010099185565002092,0.4761153399428864,0.4862145255078885,78481.70022294405
NGA,Nigeria,Africa,23.413028205113147,1143.0990479844247,27.38815363127833,0.4149310651383434,0.2634884358527664,0.2091171297404901,0.4726055655932565,1969.912023362501
NER,Niger,Africa,0.29509097515943344,155.76250061599845,20.39427674185163,0.0007118579938580327,0.1486363334585257,0.4862035616863526,0.6348398951448783,439.7497264059413
NIC,Nicaragua,North America,5.246654705589388,1981.4950919281323,22.52608501700799,1.8282218698824413,0.22604387227350628,0.249224993074373,0.47526886534787927,1603.229198477651
NZL,New Zealand,Oceania,0.12516194270358258,1507.9963418859265,9.657388809253051,2.181919536900958,0.3782728219572129,0.22821001491982149,0.6064828368770344,33708.635523746176
NLD,Netherlands,Europe,0.2406061971713205,752.113577422618,9.934037874931974,0.579405242802463,0.1928105853768605,0.37297976233141966,0.5657903477082802,47467.68479953955
NPL,Nepal,Asia,5.234858707584049,1195.8243656327763,13.981606040059631,1.1539283824651534,0.09334760651689687,0.27255199162183863,0.3658995981387355,654.2935574672174
NAM,Namibia,Africa,3.5222091832932723,278.202165512261,19.605702718863625,0.0053046011025446645,0.45944167715691214,0.1736160496391192,0.6330577267960313,4320.1619827468685
MOZ,Mozambique,Africa,36.48185815883309,905.2605520609741,23.779601049514454,0.6589750182636969,0.384018169926802,0.12689158685983648,0.5109097567866385,505.2969694124373
MAR,Morocco,Africa,0.05731962888063833,238.03463035425403,18.150258091341154,0.13760418287914075,0.4097903623813481,0.20199063635782416,0.6117809987391722,2858.8970458984395
MNE,Montenegro,Europe,1.676765727254362,1363.6740660906114,9.398782006604739,1.1551666012283237,0.1524629334001763,0.7097294719533063,0.8621924053534826,5968.6565562268715
MNG,Mongolia,Asia,0.6795810816394351,212.83050165085746,1.4199495710144032,0.012248938935311657,0.7195615583202687,0.14257019305071683,0.8621317513709855,2651.651135232677
MDA,Moldova,Europe,3.908620972845757,497.93250718884434,11.219039647257238,0.31990269220960604,0.11467408750229197,0.23989131250358858,0.35456540000588055,2371.838419955654
MEX,Mexico,North America,3.8341317023561716,762.4353898294369,20.432827997689408,0.7907918316815112,0.39308931850841416,0.11595971647989106,0.5090490349883052,9514.76369088446
MRT,Mauritania,Africa,0.15765254860952344,83.75811026407543,15.395424767182922,0.00034582224743451317,0.2678708824823747,0.2380921828999881,0.5059630653823628,1438.4230275976956
MLI,Mali,Africa,10.288512736538582,310.41541873980515,21.528923481035612,0.027659623193037504,0.19393705369210087,0.48925852075366627,0.6831955744457672,751.829177602723
MYS,Malaysia,Asia,0.553102626188848,2978.8235948085203,25.902853441181076,2.540306687433659,0.008514562908713597,0.2210900368684685,0.22960459977718212,8209.491788408835
