C:\Users\owusu\miniforge3\Lib\site-packages\pyproj\network.py:59: UserWarning: pyproj unable to set PROJ database path.
  _set_context_ca_bundle_path(ca_bundle_path)
[I 2026-06-08 12:07:12,012] A new study created in memory with name: no-name-6216fa72-d528-4c4d-a3a0-d0282f20c4cf
[I 2026-06-08 12:07:26,635] Trial 11 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.0009749762207436118, 'D_low': 15.977662354833871, 'k2': 0.00013783578294796384, 'D_high': 14.0458423440247, 'fire_exp': 4.069718158955968, 'P_half': 102.49816559563212, 'pre_dampen_half': 0.018088133565708247, 'gpp_af': 0.024730467210999134, 'gpp_b': 2.8157579294311725, 'gpp_d': 0.15769192447197522, 'ign_k': 0.003798214508453258, 'ign_c': 9.074256288983854, 'trop_agb_crit': 28.570986468059534, 'trop_k_veg': 0.978213368435106}.
[I 2026-06-08 12:07:27,866] Trial 12 finished with values: [10.881810213476793, 10.881810213476793] and parameters: {'k1': 0.00488137519160367, 'D_low': 1112.9571947046009, 'k2': 8.923807143379776e-05, 'D_high': 8182.111518618414, 'fire_exp': 2.332293128354265, 'P_half': 338.23872019362165, 'pre_dampen_half': 14.711215379121963, 'gpp_af': 0.47739011308437823, 'gpp_b': 3.481277316673104e-05, 'gpp_d': 150.14555442537656, 'ign_k': 0.019192001101561888, 'ign_c': 0.557280750002996, 'trop_agb_crit': 1.14876138417489, 'trop_k_veg': 2.573214588078609}.
[I 2026-06-08 12:07:29,093] Trial 13 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.0051316549551483235, 'D_low': 1.1650681118986133, 'k2': 0.0011178209200698721, 'D_high': 80.53471030316095, 'fire_exp': 4.4174616756610865, 'P_half': 4.982711200081132, 'pre_dampen_half': 28.489753426125606, 'gpp_af': 0.08583743499363283, 'gpp_b': 4.172342315150443, 'gpp_d': 0.048708496102003014, 'ign_k': 0.023134781612225618, 'ign_c': 0.28437674894443676, 'trop_agb_crit': 23.22119672134762, 'trop_k_veg': 5.6936642196060685}.
[I 2026-06-08 12:07:30,249] Trial 14 finished with values: [10.892775289752768, 10.892775289752768] and parameters: {'k1': 0.00010758866306767925, 'D_low': 436.4516946807792, 'k2': 0.018573288333114862, 'D_high': 1662.6592254031873, 'fire_exp': 3.3857164090062235, 'P_half': 9.277034327414716, 'pre_dampen_half': 0.029208808341780905, 'gpp_af': 30.625189859246767, 'gpp_b': 2.5264362435704455, 'gpp_d': 14.638860976621418, 'ign_k': 0.022704877557909234, 'ign_c': 2.4936660834465174, 'trop_agb_crit': 11.812030596598904, 'trop_k_veg': 6.014484292180484}.
[I 2026-06-08 12:07:31,377] Trial 15 finished with values: [10.89285684455712, 10.89285684455712] and parameters: {'k1': 0.035346441441965824, 'D_low': 1316.7465326936142, 'k2': 0.0036993598999597497, 'D_high': 21.705003488711135, 'fire_exp': 1.450870712623418, 'P_half': 3928.4095134792283, 'pre_dampen_half': 10.768254179081206, 'gpp_af': 0.001111693990724459, 'gpp_b': 4.062835674447076e-05, 'gpp_d': 20.773460357138827, 'ign_k': 0.001047722656409829, 'ign_c': 0.4397766894483963, 'trop_agb_crit': 6.464669746492398, 'trop_k_veg': 3.4048253345625987}.
[I 2026-06-08 12:07:32,568] Trial 16 finished with values: [10.8924165795656, 10.8924165795656] and parameters: {'k1': 0.004053638704742309, 'D_low': 7.890004262668578, 'k2': 0.007058572590901788, 'D_high': 88.9193644629625, 'fire_exp': 2.1154350616377124, 'P_half': 968.2012086882471, 'pre_dampen_half': 17.707795393478506, 'gpp_af': 17.624510039685536, 'gpp_b': 0.08824240860504107, 'gpp_d': 6.942933677610508, 'ign_k': 0.0023697311169867336, 'ign_c': 2.957080941494347, 'trop_agb_crit': 2.4645410377327237, 'trop_k_veg': 0.983473833513531}.
[I 2026-06-08 12:07:33,727] Trial 17 finished with values: [10.888011936932449, 10.888011936932449] and parameters: {'k1': 0.07799059237255677, 'D_low': 37.35862630812753, 'k2': 0.03699867920489089, 'D_high': 3346.220103048382, 'fire_exp': 6.234638880169447, 'P_half': 102.4585893986732, 'pre_dampen_half': 7.665128204660195, 'gpp_af': 0.29012721497386246, 'gpp_b': 0.0001484082099455773, 'gpp_d': 40.950628944766926, 'ign_k': 0.013276678836047658, 'ign_c': 0.12510188850164433, 'trop_agb_crit': 8.983402272488592, 'trop_k_veg': 0.8170196702261714}.
[I 2026-06-08 12:07:34,931] Trial 18 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.05778755734457457, 'D_low': 6542.056762893129, 'k2': 0.04565176372646328, 'D_high': 302.4369161272648, 'fire_exp': 1.0362310858538248, 'P_half': 5167.425813322413, 'pre_dampen_half': 1.3833139021965035, 'gpp_af': 68.11991466118579, 'gpp_b': 6.049505313715197, 'gpp_d': 184.0972398983907, 'ign_k': 0.015058980408366392, 'ign_c': 3.470490935437501, 'trop_agb_crit': 18.081400596781233, 'trop_k_veg': 1.2038770175361675}.
[I 2026-06-08 12:07:36,185] Trial 19 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 4.763991596630584e-05, 'D_low': 168.73495104568943, 'k2': 0.05554169083020911, 'D_high': 6083.019192425827, 'fire_exp': 3.7158756327298814, 'P_half': 2.4474057445796826, 'pre_dampen_half': 11.886011154695657, 'gpp_af': 89.1803660289781, 'gpp_b': 6.926344546055084e-05, 'gpp_d': 3.90524479130036, 'ign_k': 3.2321558056178983, 'ign_c': 91.84900818511522, 'trop_agb_crit': 10.704755834674414, 'trop_k_veg': 3.506268155293053}.
[I 2026-06-08 12:07:37,375] Trial 20 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.00027413507419758244, 'D_low': 14.94057723907974, 'k2': 0.017276056747028225, 'D_high': 17396.167422846986, 'fire_exp': 7.363297006759709, 'P_half': 4497.407193749843, 'pre_dampen_half': 3.6033960181641236, 'gpp_af': 0.32179661649786323, 'gpp_b': 0.6162700666853761, 'gpp_d': 17.775411110039244, 'ign_k': 0.6424916813668934, 'ign_c': 152.46518242848595, 'trop_agb_crit': 20.636964030632928, 'trop_k_veg': 1.2763116303262503}.
