=== fitting Africa TRAIN-tiles (TAG=africacell, FUEL_AMP) ===
[I 2026-06-11 13:52:44,739] A new study created in memory with name: no-name-89af2abe-843c-41db-8ee8-d67f25d816e2
[I 2026-06-11 13:52:46,214] Trial 0 finished with values: [-0.8349245098714003, 0.11522439815255403] and parameters: {'k1': 0.012840669372724958, 'D_low': 5.351452349843333, 'k2': 0.002884223471687844, 'D_high': 2289.1315306837046, 'fire_exp': 1.4126958348191876, 'P_half': 221.2683656611821, 'pre_dampen_half': 565.0116730717873, 'gpp_af': 0.3002317246575309, 'gpp_b': 0.0009153552948098625, 'gpp_d': 229.41380323183625, 'ign_k': 0.8599189552684969, 'ign_c': 22.126836566118193, 'trop_agb_crit': 10.215415653610627, 'trop_k_veg': 6.45312300188076, 'fuel_k': 4.710433409437072, 'fuel_half': 11.781063202742125}.
[I 2026-06-11 13:52:47,688] Trial 1 finished with values: [10.76788734332418, 10.76788734332418] and parameters: {'k1': 0.00031489116479568613, 'D_low': 6351.221010640702, 'k2': 0.008471801418819975, 'D_high': 2481.0409748678126, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876, 'fuel_k': 0.03199906289308566, 'fuel_half': 0.35498788321965025}.
[I 2026-06-11 13:52:49,157] Trial 2 finished with values: [10.769219804008454, 10.769219804008454] and parameters: {'k1': 0.00016480446427978953, 'D_low': 125.61043700013555, 'k2': 0.0005342937261279777, 'D_high': 146.1896279370497, 'fire_exp': 4.091220574443785, 'P_half': 3.6138942712165267, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.06789053271698488, 'gpp_b': 0.0054502936945582505, 'gpp_d': 84.31013932082456, 'ign_k': 0.006290644294586149, 'ign_c': 11.400863701127316, 'trop_agb_crit': 7.500118950416987, 'trop_k_veg': 0.5687244174086067, 'fuel_k': 0.487361804838494, 'fuel_half': 0.32476735706274484}.
[I 2026-06-11 13:52:50,645] Trial 3 finished with values: [10.739625270280076, 10.739625270280076] and parameters: {'k1': 1.8205657658407255e-05, 'D_low': 6245.139574743073, 'k2': 0.07286653737491042, 'D_high': 17123.375973163988, 'fire_exp': 2.0165721691808587, 'P_half': 2.458603276328005, 'pre_dampen_half': 26.373339933815235, 'gpp_af': 0.15876781526924, 'gpp_b': 5.397956855996442e-05, 'gpp_d': 2.991469302130215, 'ign_k': 0.0013726318898045872, 'ign_c': 433.7920697490936, 'trop_agb_crit': 2.411289811529197, 'trop_k_veg': 3.138530300785082, 'fuel_k': 0.0734480915638841, 'fuel_half': 3.632486956676605}.
[I 2026-06-11 13:52:52,117] Trial 4 finished with values: [10.769230769179025, 10.769230769179025] and parameters: {'k1': 0.0015375920235481753, 'D_low': 5.488047000766042, 'k2': 0.07556810141274425, 'D_high': 12604.664585649456, 'fire_exp': 8.699593128513321, 'P_half': 3795.8531426706395, 'pre_dampen_half': 9.761125443110442, 'gpp_af': 40.679084943595456, 'gpp_b': 3.395900933162749e-05, 'gpp_d': 0.09548041810464164, 'ign_k': 0.0015167330688076208, 'ign_c': 2.001342062287997, 'trop_agb_crit': 3.7507963596256046, 'trop_k_veg': 1.0609790190334525, 'fuel_k': 2.0061257262909367, 'fuel_half': 1.1756010900231848}.
[I 2026-06-11 13:52:53,587] Trial 5 finished with values: [10.769230769179025, 10.769230769179025] and parameters: {'k1': 0.000132965214572995, 'D_low': 148.17820606039086, 'k2': 3.661819220392426e-05, 'D_high': 16172.900811143152, 'fire_exp': 1.1872731425335898, 'P_half': 8862.32650857625, 'pre_dampen_half': 72.64803074826723, 'gpp_af': 0.009853225172032555, 'gpp_b': 1.0792764548678445e-05, 'gpp_d': 119.48328168545434, 'ign_k': 0.6720930050156113, 'ign_c': 82.41925264876441, 'trop_agb_crit': 13.780336485751999, 'trop_k_veg': 0.6139438440498544, 'fuel_k': 0.09905399864531553, 'fuel_half': 0.22264204303769677}.
[I 2026-06-11 13:52:55,029] Trial 6 finished with values: [10.768810165653608, 10.768810165653608] and parameters: {'k1': 0.028340904295147733, 'D_low': 311.3095956122123, 'k2': 0.00021066486017042195, 'D_high': 17.956984225677637, 'fire_exp': 2.0463613363481596, 'P_half': 19.986340778528874, 'pre_dampen_half': 44.46628955475442, 'gpp_af': 1.5409457762881555, 'gpp_b': 2.105118051960871, 'gpp_d': 2.296543234463434, 'ign_k': 0.003008686821445846, 'ign_c': 71.2818805840135, 'trop_agb_crit': 13.297554090738672, 'trop_k_veg': 2.370364278801894, 'fuel_k': 1.386319828528516, 'fuel_half': 3.0296104428212476}.
[I 2026-06-11 13:52:56,467] Trial 7 finished with values: [10.769223068180214, 10.769223068180214] and parameters: {'k1': 0.0012329098365270509, 'D_low': 51.30551760589834, 'k2': 1.263794633808287e-05, 'D_high': 27.012557725439073, 'fire_exp': 1.075051292556307, 'P_half': 351.2704726270846, 'pre_dampen_half': 0.37306104754535907, 'gpp_af': 0.34902252478382495, 'gpp_b': 2.788681037423117, 'gpp_d': 0.17638479543546878, 'ign_k': 0.04380580767905655, 'ign_c': 105.24574681335613, 'trop_agb_crit': 2.1775224101934065, 'trop_k_veg': 0.6189606672462583, 'fuel_k': 0.06382243375381637, 'fuel_half': 0.30455368715396786}.
[I 2026-06-11 13:52:57,954] Trial 8 finished with values: [10.769210104988211, 10.769210104988211] and parameters: {'k1': 0.05233480488540085, 'D_low': 1707.9750342958232, 'k2': 0.0034167643418329683, 'D_high': 30608.522106722474, 'fire_exp': 6.363148766597142, 'P_half': 5.575453980775371, 'pre_dampen_half': 290.2652141826387, 'gpp_af': 0.49740621749684094, 'gpp_b': 0.6992636148959319, 'gpp_d': 302.3127748796293, 'ign_k': 0.018707420137660268, 'ign_c': 0.2755546207779662, 'trop_agb_crit': 2.171140223187998, 'trop_k_veg': 1.6340262437673854, 'fuel_k': 1.8731335591844642, 'fuel_half': 38.211294416912246}.
[I 2026-06-11 13:52:59,345] Trial 9 finished with values: [10.769230769179025, 10.769230769179025] and parameters: {'k1': 1.0661259689433896e-05, 'D_low': 110.40511903162249, 'k2': 0.0004673518999562748, 'D_high': 77.34482156646791, 'fire_exp': 1.317848138124919, 'P_half': 22.41097161910951, 'pre_dampen_half': 518.2609891091987, 'gpp_af': 0.04130614451133169, 'gpp_b': 0.012964140540905063, 'gpp_d': 32.741215209888836, 'ign_k': 0.02847858516856297, 'ign_c': 771.13129913311, 'trop_agb_crit': 26.402883285404346, 'trop_k_veg': 1.0049538030148353, 'fuel_k': 0.24067532026281035, 'fuel_half': 0.7991621920384354}.
[I 2026-06-11 13:53:00,767] Trial 10 finished with values: [10.131401332102394, 10.131401332102394] and parameters: {'k1': 0.00013783578294796384, 'D_low': 1.4045842344024697, 'k2': 0.0027431991397796683, 'D_high': 1024.9816559563214, 'fire_exp': 1.1258453832483524, 'P_half': 13.019246714361572, 'pre_dampen_half': 347.79988160923324, 'gpp_af': 0.015769192447197523, 'gpp_b': 7.402343469704428e-05, 'gpp_d': 2.8006820077310213, 'ign_k': 8.761971101023693, 'ign_c': 0.9294394155644988, 'trop_agb_crit': 9.836162684900028, 'trop_k_veg': 4.1309639246402785, 'fuel_k': 0.04572914063536324, 'fuel_half': 15.29850686893745}.
