[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] warm-start from params.spatial.k1.json
[warm] Overall=0.3989  bias=0.5816 rmse=0.3647 seas=0.6545 spatial=0.0294
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 20:35:38,271] A new study created in memory with name: no-name-09828b6d-0763-4b9e-b80a-0568282818b7
[opt] running 2500 trials against GFED5 ...
[I 2026-07-22 20:35:43,296] Trial 11 finished with values: [10.768168799478358, 10.768168799478358] and parameters: {'k1': 0.0034207303670092245, 'D_low': 1639.2609918327714, 'k2': 2.296989871634208e-05, 'D_high': 1027578.416190738, 'fire_exp': 1.3416870310419562, 'P_half': 5.572807500029961, 'pre_dampen_half': 0.01599100311121483, 'gpp_af': 0.9004606022643077, 'gpp_b': 0.1162481823613905, 'gpp_d': 0.01210428510799503, 'ign_k': 0.11178209200698722, 'ign_c': 0.8053471030316095, 'trop_agb_crit': 8.974255743856958, 'trop_k_veg': 0.8108268204433952, 'fuel_k': 0.8308632327396429, 'fuel_half': 1.4461256820152135}.
[I 2026-07-22 20:35:43,708] Trial 12 finished with values: [10.76913397214567, 10.76913397214567] and parameters: {'k1': 0.05583672722754823, 'D_low': 6.685373335828939, 'k2': 0.00023134781612225587, 'D_high': 47.95579858030176, 'fire_exp': 2.3333107744598345, 'P_half': 3231.152185441098, 'pre_dampen_half': 0.19485346746590887, 'gpp_af': 1.9948958651882587, 'gpp_b': 0.8004481426143581, 'gpp_d': 5.9704086523843145, 'ign_k': 0.1314021022620738, 'ign_c': 0.9277034327414713, 'trop_agb_crit': 1.3725370520782985, 'trop_k_veg': 6.016243801593679, 'fuel_k': 3.173200772758111, 'fuel_half': 7.930569433855138}.
[I 2026-07-22 20:35:44,117] Trial 13 finished with values: [10.599222689919364, 10.599222689919364] and parameters: {'k1': 0.00022704877557909215, 'D_low': 124.52525727440515, 'k2': 0.008013508750140624, 'D_high': 2413579.2291304003, 'fire_exp': 2.2542764775111617, 'P_half': 1316.7465326936142, 'pre_dampen_half': 16.224010950061366, 'gpp_af': 0.002634509839733607, 'gpp_b': 9.327650919528727e-05, 'gpp_d': 311.00755757274874, 'ign_k': 0.26651167490553546, 'ign_c': 0.10883991813938126, 'trop_agb_crit': 1.4121660706207504, 'trop_k_veg': 3.1470652177597604, 'fuel_k': 0.010329084861117386, 'fuel_half': 0.3036855685244964}.
[I 2026-07-22 20:35:44,527] Trial 14 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.001566517163094646, 'D_low': 14170.04358760281, 'k2': 0.004053638704742309, 'D_high': 221.62352426595902, 'fire_exp': 1.9204570795137206, 'P_half': 8.89193644629625, 'pre_dampen_half': 0.4236414938631993, 'gpp_af': 5.4007867012865365, 'gpp_b': 0.07903098490824649, 'gpp_d': 176.24510039685507, 'ign_k': 0.4270232968405546, 'ign_c': 18.760068220300635, 'trop_agb_crit': 1.3752099014456878, 'trop_k_veg': 1.3859384729785302, 'fuel_k': 0.054547178265401106, 'fuel_half': 0.5394720267647732}.
[I 2026-07-22 20:35:44,940] Trial 15 finished with values: [10.257322746185665, 10.257322746185665] and parameters: {'k1': 0.07799059237255677, 'D_low': 228.34228779494518, 'k2': 0.03699867920489092, 'D_high': 61211.32154754238, 'fire_exp': 2.0715108722728917, 'P_half': 102.4585893986732, 'pre_dampen_half': 7.665128204660192, 'gpp_af': 0.2901272149738624, 'gpp_b': 0.0001484082099455773, 'gpp_d': 40.95062894476691, 'ign_k': 0.013276678836047658, 'ign_c': 0.12510188850164433, 'trop_agb_crit': 8.983402272488592, 'trop_k_veg': 0.8170196702261714, 'fuel_k': 4.0995500417030915, 'fuel_half': 72.7420826493834}.
[I 2026-07-22 20:35:45,361] Trial 16 finished with values: [10.737457907750091, 10.737457907750091] and parameters: {'k1': 0.045651763726463325, 'D_low': 166.32295851843423, 'k2': 1.1529924570330218e-05, 'D_high': 3714594.1935037985, 'fire_exp': 1.480442702914831, 'P_half': 7355.61985085331, 'pre_dampen_half': 657.8091125940398, 'gpp_af': 18.409723989839083, 'gpp_b': 0.0005843773200430936, 'gpp_d': 0.8423423635296957, 'ign_k': 2.5383218374507304, 'ign_c': 1.8522006003174372, 'trop_agb_crit': 1.7797595772834214, 'trop_k_veg': 2.3411300034414677, 'fuel_k': 3.988224126368738, 'fuel_half': 12.24868285680487}.
[I 2026-07-22 20:35:45,776] Trial 17 finished with values: [11.247187064629182, 11.247187064629182] and parameters: {'k1': 0.001906534551939351, 'D_low': 3.8287672160557875, 'k2': 0.002884223471687844, 'D_high': 8716117.989430292, 'fire_exp': 1.1369596031946847, 'P_half': 118.39097834757698, 'pre_dampen_half': 243.70551632385397, 'gpp_af': 5.056419398267455, 'gpp_b': 0.1520878238989275, 'gpp_d': 32.54021513867685, 'ign_k': 0.02741350741975827, 'ign_c': 1.4940577239079738, 'trop_agb_crit': 15.68644624233575, 'trop_k_veg': 4.725456080509074, 'fuel_k': 2.563645943471902, 'fuel_half': 54.91887821601527}.
[I 2026-07-22 20:35:46,207] Trial 18 finished with values: [10.684454272995957, 10.684454272995957] and parameters: {'k1': 0.0011101191524846067, 'D_low': 1021.1693428871283, 'k2': 0.015602015889668856, 'D_high': 79393.25078783733, 'fire_exp': 1.9025702662542903, 'P_half': 1524.6518242848613, 'pre_dampen_half': 281.855626699674, 'gpp_af': 0.04897515106470033, 'gpp_b': 0.0017926591238975052, 'gpp_d': 0.029505956594932957, 'ign_k': 0.20564614086027933, 'ign_c': 0.13924162890248676, 'trop_agb_crit': 4.872420129560893, 'trop_k_veg': 2.251019475487767, 'fuel_k': 0.06252517815977368, 'fuel_half': 5.9224278919224576}.
[I 2026-07-22 20:35:46,664] Trial 19 finished with values: [10.711046364539886, 10.711046364539886] and parameters: {'k1': 1.3243445838637965e-05, 'D_low': 1.6752866684650682, 'k2': 0.0195165137832656, 'D_high': 1449.2518000731375, 'fire_exp': 1.1234725391720877, 'P_half': 122.73630375458193, 'pre_dampen_half': 70.78932406899753, 'gpp_af': 0.011997897226934482, 'gpp_b': 0.05461888811739216, 'gpp_d': 0.02671390178713565, 'ign_k': 0.001609633064821938, 'ign_c': 13.348071559960674, 'trop_agb_crit': 6.289029460848807, 'trop_k_veg': 2.927602344444864, 'fuel_k': 1.0403789263969374, 'fuel_half': 84.6362160256194}.
[I 2026-07-22 20:35:47,098] Trial 20 finished with values: [10.768950179346964, 10.768950179346964] and parameters: {'k1': 0.0011619873314872927, 'D_low': 86.64406862241785, 'k2': 0.015161591075671724, 'D_high': 421.690199379951, 'fire_exp': 1.4951483674354806, 'P_half': 2.0598022365449626, 'pre_dampen_half': 0.013389171890458417, 'gpp_af': 65.04921701204668, 'gpp_b': 1.0372435026692939, 'gpp_d': 30.190550386581368, 'ign_k': 0.043232642103703305, 'ign_c': 0.4933751600448339, 'trop_agb_crit': 1.7024582907699128, 'trop_k_veg': 1.0006736835346968, 'fuel_k': 0.3356098860138197, 'fuel_half': 13.924761586031797}.
