=== fitting Africa (TAG=africa) ===
[I 2026-06-10 19:19:47,590] A new study created in memory with name: no-name-fb54fd59-4718-4744-8f1a-27ebc4d37290
[I 2026-06-10 19:20:05,877] Trial 11 finished with values: [10.833333232419898, 10.833333232419898] and parameters: {'k1': 0.042959927905391264, 'D_low': 9.083381663660585, 'k2': 3.798214508453257e-05, 'D_high': 907.4256288983863, 'fire_exp': 9.674988425050117, 'P_half': 9.29439415564499, 'pre_dampen_half': 22.944454507601968, 'gpp_af': 6.428328717564121, 'gpp_b': 0.00026657858841301916, 'gpp_d': 43.76044634724402, 'ign_k': 0.029589152820953094, 'ign_c': 33.82387201936214, 'trop_agb_crit': 8.62581622692092, 'trop_k_veg': 2.2085488395582877, 'fire_amp': 1.1755987008531337}.
[I 2026-06-10 19:20:07,218] Trial 12 finished with values: [10.833229443843377, 10.833229443843377] and parameters: {'k1': 0.02193865417811505, 'D_low': 19.192001101561882, 'k2': 5.572807500029961e-05, 'D_high': 14.557961490251989, 'fire_exp': 3.898458749305194, 'P_half': 513.1654955148325, 'pre_dampen_half': 0.01210428510799503, 'gpp_af': 0.36346725534286806, 'gpp_b': 0.0002285465401900534, 'gpp_d': 16.821470258034143, 'ign_k': 0.004982711200081134, 'ign_c': 58.04314717414065, 'trop_agb_crit': 3.726104236509946, 'trop_k_veg': 6.7128246388513295, 'fire_amp': 1.2794169340673422}.
[I 2026-06-10 19:20:08,826] Trial 13 finished with values: [10.824480055995517, 10.824480055995517] and parameters: {'k1': 0.00023134781612225627, 'D_low': 2.843767489444367, 'k2': 0.0499774937030317, 'D_high': 32311.521854410956, 'fire_exp': 1.811096651915224, 'P_half': 436.4516946807792, 'pre_dampen_half': 121.93011993958949, 'gpp_af': 0.5970408652384318, 'gpp_b': 0.015062722325200045, 'gpp_d': 0.1619054449471649, 'ign_k': 0.002357279455676982, 'ign_c': 388.02797007866826, 'trop_agb_crit': 21.380932890222198, 'trop_k_veg': 2.8926781829782864, 'fire_amp': 1.8357623383234334}.
[I 2026-06-10 19:20:10,477] Trial 14 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.00024936660834465205, 'D_low': 801.3508750140625, 'k2': 0.0387651117091163, 'D_high': 35346.441441965806, 'fire_exp': 6.023869375703683, 'P_half': 369.93598999597504, 'pre_dampen_half': 0.026345098397336078, 'gpp_af': 0.00642900214221209, 'gpp_b': 2.462210228732003, 'gpp_d': 10.768254179081206, 'ign_k': 0.0010883991813938126, 'ign_c': 0.25461628161276906, 'trop_agb_crit': 9.551521678079945, 'trop_k_veg': 0.5070663123919332, 'fire_amp': 1.3339298352621864}.
[I 2026-06-10 19:20:12,109] Trial 15 finished with values: [10.833332836456691, 10.833332836456691] and parameters: {'k1': 0.001566517163094646, 'D_low': 585.5726588796255, 'k2': 0.004053638704742309, 'D_high': 78.90004262668583, 'fire_exp': 5.154413091020758, 'P_half': 8.89193644629625, 'pre_dampen_half': 0.4236414938631993, 'gpp_af': 5.400786701286536, 'gpp_b': 0.07903098490824653, 'gpp_d': 176.24510039685507, 'ign_k': 0.42702329684055446, 'ign_c': 18.760068220300635, 'trop_agb_crit': 1.3752099014456878, 'trop_k_veg': 1.3859384729785302, 'fire_amp': 1.6083018222627783}.
[I 2026-06-10 19:20:13,497] Trial 16 finished with values: [10.8333297131098, 10.8333297131098] and parameters: {'k1': 9.461469059966113e-05, 'D_low': 7799.059237255678, 'k2': 0.00037358626308127543, 'D_high': 36998.679204890876, 'fire_exp': 4.2769938521987285, 'P_half': 1510.9330261674459, 'pre_dampen_half': 3.2597587933173577, 'gpp_af': 0.76651282046602, 'gpp_b': 0.009017915528354467, 'gpp_d': 0.09467055845337147, 'ign_k': 0.7759048401667639, 'ign_c': 1.327667883604765, 'trop_agb_crit': 1.0862195895119262, 'trop_k_veg': 2.9936160189545182, 'fire_amp': 1.373469110848509}.
[I 2026-06-10 19:20:14,906] Trial 17 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.05778755734457457, 'D_low': 6542.056762893129, 'k2': 0.04565176372646328, 'D_high': 302.4369161272648, 'fire_exp': 1.0362310858538248, 'P_half': 5167.425813322413, 'pre_dampen_half': 1.3833139021965035, 'gpp_af': 68.11991466118579, 'gpp_b': 6.049505313715197, 'gpp_d': 184.0972398983907, 'ign_k': 0.015058980408366392, 'ign_c': 3.470490935437501, 'trop_agb_crit': 18.081400596781233, 'trop_k_veg': 1.2038770175361675, 'fire_amp': 1.3548493046145347}.
[I 2026-06-10 19:20:16,575] Trial 18 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0016873495104568939, 'D_low': 5554.169083020912, 'k2': 0.006083019192425824, 'D_high': 1906.5345519393518, 'fire_exp': 1.250767228649357, 'P_half': 288.4223471687845, 'pre_dampen_half': 891.8036602897795, 'gpp_af': 0.00501672247099786, 'gpp_b': 0.012881840401051753, 'gpp_d': 243.70551632385417, 'ign_k': 0.9184900818511543, 'ign_c': 61.38509947844848, 'trop_agb_crit': 10.90571569096499, 'trop_k_veg': 1.3546917410321284, 'fire_amp': 1.692227937675511}.
[I 2026-06-10 19:20:18,168] Trial 19 finished with values: [10.749227210409245, 10.749227210409245] and parameters: {'k1': 0.017276056747028225, 'D_low': 1739.6167422846984, 'k2': 0.02939607009739149, 'D_high': 44974.07193749848, 'fire_exp': 3.2459542834651627, 'P_half': 101.40635645866499, 'pre_dampen_half': 98.05638874011484, 'gpp_af': 1.7775411110039254, 'gpp_b': 0.16285506249643175, 'gpp_d': 95.2715755007094, 'ign_k': 3.6309591863459096, 'ign_c': 2.2489542843914485, 'trop_agb_crit': 3.5874145253515306, 'trop_k_veg': 0.6488368931910606, 'fire_amp': 2.818314238665462}.
[I 2026-06-10 19:20:19,548] Trial 20 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 1.392416289024867e-05, 'D_low': 72.8437126516689, 'k2': 0.001481080073036349, 'D_high': 140.01191914113753, 'fire_exp': 3.8979230431144027, 'P_half': 1.3243445838637977, 'pre_dampen_half': 0.015372374060846974, 'gpp_af': 12.971876440863593, 'gpp_b': 0.001449251800073137, 'gpp_d': 0.043181981126981975, 'ign_k': 0.12273630375458194, 'ign_c': 120.2193048491502, 'trop_agb_crit': 2.0835015454357144, 'trop_k_veg': 2.8119323832865257, 'fire_amp': 1.1652342369617454}.
