[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[fuel] FUEL_WINDOW=60 months, causal trailing mean, 48 months of spin-up ahead of the fit window
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[pop] POP_TERM ON: HYDE density, 15031 populated cells, log10 range -1.00 to 3.48
[setup] GFED5 land-mean monthly frac: 0.005068
[pop] fitting a hump in log10 population density, 3 parameters
[opt] warm-start from params.coupledFW.json
[warm] Overall=0.6094  bias=0.6952 rmse=0.3646 seas=0.8119 spatial=0.8107
[opt] sampler=NSGAIISampler seed=42
[I 2026-08-19 12:45:39,506] A new study created in memory with name: no-name-600e1374-c612-45f7-9d73-06eb5c66291d
[opt] running 2500 trials against GFED5 ...
[I 2026-08-19 12:45:42,506] Trial 0 finished with values: [-0.6094076133578652, 0.08021078516453495] and parameters: {'k1': 0.0008685306488754917, 'D_low': 2240.9155921647994, 'k2': 0.0010532624798722347, 'D_high': 6525529.853354094, 'fire_exp': 1.2585476857229763, 'P_half': 355.00125258511594, 'pre_dampen_half': 16.224010950061366, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 2.136832907235876, 'ign_c': 22.126836566118193, 'trop_agb_crit': 26.951029433343408, 'trop_k_veg': 2.724170387400844, 'pop_amp': 0.001, 'pop_peak': 16.0, 'pop_sig': 0.8, 'fuel_k': 0.6149834196910364, 'fuel_half': 0.6603566884894324}.
[I 2026-08-19 12:45:46,016] Trial 1 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.00031489116479568613, 'D_low': 506157.68887523044, 'k2': 0.008471801418819975, 'D_high': 39079.671568228776, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876, 'pop_amp': 0.006053891567028103, 'pop_peak': 0.3074668528543553, 'pop_sig': 0.5037119471039664, 'fuel_k': 0.28698073046474143, 'fuel_half': 1.976218934028007}.
[I 2026-08-19 12:45:48,515] Trial 2 finished with values: [-0.39110355045824197, 0.007508771400938197] and parameters: {'k1': 0.0001461896279370495, 'D_low': 4689.400963537684, 'k2': 3.613894271216525e-05, 'D_high': 566.0670699258887, 'fire_exp': 2.324672848950434, 'P_half': 66.72367170464204, 'pre_dampen_half': 84.31013932082456, 'gpp_af': 0.009962513222055111, 'gpp_b': 0.012173252504194038, 'gpp_d': 9.163741808778772, 'ign_k': 0.0015339162591163618, 'ign_c': 26.92646910086177, 'trop_agb_crit': 1.7860137889397087, 'trop_k_veg': 0.5988250057822244, 'pop_amp': 12.055498078944888, 'pop_peak': 711.5121872456864, 'pop_sig': 1.6081899982124734, 'fuel_k': 0.07018804142198388, 'fuel_half': 0.1963434157293333}.
[I 2026-08-19 12:45:50,863] Trial 3 finished with values: [-0.5237641777533646, 0.03430621274177392] and parameters: {'k1': 0.005456725485601475, 'D_low': 437.4364439939077, 'k2': 3.077180271250682e-05, 'D_high': 9355.38060645217, 'fire_exp': 1.0824018381500955, 'P_half': 4337.920697490941, 'pre_dampen_half': 0.19674328025306115, 'gpp_af': 2.0540519425388455, 'gpp_b': 0.0007417652034871827, 'gpp_d': 3.9841905944346854, 'ign_k': 0.1537592023548176, 'ign_c': 0.5488047000766043, 'trop_agb_crit': 27.05166881899929, 'trop_k_veg': 4.288672925586801, 'pop_amp': 10.985330528057915, 'pop_peak': 352.89806695809773, 'pop_sig': 0.9904669476016459, 'fuel_k': 3.640039183945803, 'fuel_half': 0.18427970406864538}.
[I 2026-08-19 12:45:53,556] Trial 4 finished with values: [-0.400409306206089, 6.169376495290813e-05] and parameters: {'k1': 6.080390190296599e-05, 'D_low': 1.867943489455631, 'k2': 0.0002001342062287998, 'D_high': 2148.1457181982682, 'fire_exp': 1.8678802571070678, 'P_half': 2065.142557895925, 'pre_dampen_half': 0.607808309968195, 'gpp_af': 0.02539057572102413, 'gpp_b': 0.018037506431281835, 'gpp_d': 0.050654860639753524, 'ign_k': 1.6172900811143154, 'ign_c': 0.19870215385428625, 'trop_agb_crit': 28.691395365453726, 'trop_k_veg': 4.254468990309733, 'pop_amp': 0.007156194022692475, 'pop_peak': 0.05281056279423359, 'pop_sig': 1.6345621461295103, 'fuel_k': 0.9199338799678547, 'fuel_half': 15.382308040278993}.
[I 2026-08-19 12:45:56,010] Trial 5 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.01216413935141706, 'D_low': 2.7814285643757533, 'k2': 0.00027155819552829395, 'D_high': 49.56947932799961, 'fire_exp': 7.296312489711155, 'P_half': 311.3095956122123, 'pre_dampen_half': 0.4513257622008943, 'gpp_af': 0.002078699690689777, 'gpp_b': 0.0007343344964174934, 'gpp_d': 0.42258746449961676, 'ign_k': 0.8287522363768158, 'ign_c': 35.500125258511574, 'trop_agb_crit': 20.44187835249379, 'trop_k_veg': 1.8517119608276615, 'pop_amp': 0.0032687254098544157, 'pop_peak': 58.43287144076147, 'pop_sig': 1.441202667528667, 'fuel_k': 0.3625041211511625, 'fuel_half': 20.55424552015074}.
[I 2026-08-19 12:45:58,567] Trial 6 finished with values: [-0.3961770589327583, 0.03325289262376652] and parameters: {'k1': 0.0009444574254983562, 'D_low': 1368.9795993592197, 'k2': 0.0005130551760589835, 'D_high': 14.207404990676052, 'fire_exp': 1.2820100418916898, 'P_half': 1.3357240411974096, 'pre_dampen_half': 15.207297997231795, 'gpp_af': 0.03730610475453591, 'gpp_b': 0.011257038385268998, 'gpp_d': 345.01054536130147, 'ign_k': 0.009935023909063692, 'ign_c': 4.380580767905651, 'trop_agb_crit': 13.062931388340921, 'trop_k_veg': 0.9429104466938065, 'pop_amp': 0.0021433490423168255, 'pop_peak': 0.8814540846109967, 'pop_sig': 0.362377559581367, 'fuel_k': 3.826843441487287, 'fuel_half': 26.56813924114492}.
[I 2026-08-19 12:46:01,017] Trial 7 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.0034167643418329683, 'D_low': 169341.55410667966, 'k2': 0.016394127471631596, 'D_high': 131.64984536291766, 'fire_exp': 7.8083450855424115, 'P_half': 143.67095138664226, 'pre_dampen_half': 108.94336258132203, 'gpp_af': 30.231277487962974, 'gpp_b': 0.000809134743599756, 'gpp_d': 0.03550255612313078, 'ign_k': 0.008160948743089917, 'ign_c': 5.11012065649716, 'trop_agb_crit': 16.155001304356414, 'trop_k_veg': 5.437420238162096, 'pop_amp': 0.0010712758680532413, 'pop_peak': 7.865194610067352, 'pop_sig': 0.6536586487333584, 'fuel_k': 0.04140464747782871, 'fuel_half': 0.22887381144600968}.
  trial    8/2500  pareto_size=6  best_ilamb=0.6094  (0.4 min)
[I 2026-08-19 12:46:03,584] Trial 8 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.000224109716191095, 'D_low': 454420.8225488321, 'k2': 0.00019625093208439862, 'D_high': 12964.140540905057, 'fire_exp': 5.0468332876558515, 'P_half': 28.47858516856296, 'pre_dampen_half': 722.6207258080483, 'gpp_af': 64.89877132084352, 'gpp_b': 0.0003241110030999168, 'gpp_d': 3.063673848555843, 'ign_k': 0.015977662354833867, 'ign_c': 1.3783578294796377, 'trop_agb_crit': 1.1336695817840534, 'trop_k_veg': 2.709933287181283, 'pop_amp': 0.14522371993286978, 'pop_peak': 0.08324950456340541, 'pop_sig': 0.4748828360345704, 'fuel_k': 3.336568203467017, 'fuel_half': 0.5232216089948756}.
[I 2026-08-19 12:46:05,928] Trial 9 finished with values: [-0.3744048710206659, 3.651301483387215e-12] and parameters: {'k1': 3.798214508453257e-05, 'D_low': 864.403589520682, 'k2': 0.0876197110102369, 'D_high': 283.35548841697704, 'fire_exp': 4.700407898796261, 'P_half': 1112.9571947046009, 'pre_dampen_half': 0.1542366983422621, 'gpp_af': 4.376044634724401, 'gpp_b': 0.0016095289638234304, 'gpp_d': 14.505381415853753, 'ign_k': 0.3420730367009226, 'ign_c': 13.902686711034995, 'trop_agb_crit': 1.3594678406051504, 'trop_k_veg': 5.067274496329336, 'pop_amp': 0.023970918838119856, 'pop_peak': 0.31709669264724544, 'pop_sig': 0.2746092425426871, 'fuel_k': 0.43811686258016247, 'fuel_half': 10.781845035122265}.
