[I 2026-08-14 14:02:57,625] A new study created in memory with name: no-name-ac357fcf-a0ac-4a52-ac4e-4a6a255232f0
[I 2026-08-14 14:02:58,767] Trial 0 finished with values: [-0.6081662385536987, 0.08016679494404388] and parameters: {'k1': 0.0008685306488754917, 'D_low': 2240.9155921647994, 'k2': 0.0010532624798722347, 'D_high': 6525529.853354094, 'fire_exp': 1.2585476857229763, 'P_half': 355.00125258511594, 'pre_dampen_half': 16.224010950061366, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 2.136832907235876, 'ign_c': 22.126836566118193, 'trop_agb_crit': 26.951029433343408, 'trop_k_veg': 2.724170387400844, 'fuel_k': 0.6149834196910364, 'fuel_half': 0.6603566884894324}.
[I 2026-08-14 14:02:59,899] Trial 1 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.00031489116479568613, 'D_low': 506157.68887523044, 'k2': 0.008471801418819975, 'D_high': 39079.671568228776, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876, 'fuel_k': 0.03199906289308566, 'fuel_half': 0.35498788321965025}.
[I 2026-08-14 14:03:01,009] Trial 2 finished with values: [-0.38447010601879705, 5.755285911179797e-07] and parameters: {'k1': 0.00016480446427978953, 'D_low': 1407.7923139972395, 'k2': 0.0005342937261279777, 'D_high': 558.9524205217922, 'fire_exp': 4.091220574443785, 'P_half': 3.6138942712165267, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.06789053271698488, 'gpp_b': 0.0054502936945582505, 'gpp_d': 84.31013932082456, 'ign_k': 0.006290644294586149, 'ign_c': 11.400863701127316, 'trop_agb_crit': 7.500118950416987, 'trop_k_veg': 0.5687244174086067, 'fuel_k': 0.487361804838494, 'fuel_half': 0.32476735706274484}.
[I 2026-08-14 14:03:02,151] Trial 3 finished with values: [-0.36428514263492334, 0.0021599323635048684] and parameters: {'k1': 1.8205657658407255e-05, 'D_low': 493529.62094020995, 'k2': 0.07286653737491042, 'D_high': 708572.1663941594, 'fire_exp': 2.0165721691808587, 'P_half': 2.458603276328005, 'pre_dampen_half': 26.373339933815235, 'gpp_af': 0.15876781526924, 'gpp_b': 5.397956855996442e-05, 'gpp_d': 2.991469302130215, 'ign_k': 0.0013726318898045872, 'ign_c': 433.7920697490936, 'trop_agb_crit': 2.411289811529197, 'trop_k_veg': 3.138530300785082, 'fuel_k': 0.0734480915638841, 'fuel_half': 3.632486956676605}.
[I 2026-08-14 14:03:03,229] Trial 4 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.0015375920235481753, 'D_low': 12.856617791467924, 'k2': 0.07556810141274425, 'D_high': 447504.0191350906, 'fire_exp': 8.699593128513321, 'P_half': 3795.8531426706395, 'pre_dampen_half': 9.761125443110442, 'gpp_af': 40.679084943595456, 'gpp_b': 3.395900933162749e-05, 'gpp_d': 0.09548041810464164, 'ign_k': 0.0015167330688076208, 'ign_c': 2.001342062287997, 'trop_agb_crit': 3.7507963596256046, 'trop_k_veg': 1.0609790190334525, 'fuel_k': 2.0061257262909367, 'fuel_half': 1.1756010900231848}.
[I 2026-08-14 14:03:04,408] Trial 5 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.000132965214572995, 'D_low': 1803.7506431281838, 'k2': 3.661819220392426e-05, 'D_high': 650402.0246676576, 'fire_exp': 1.1872731425335898, 'P_half': 8862.32650857625, 'pre_dampen_half': 72.64803074826723, 'gpp_af': 0.009853225172032555, 'gpp_b': 1.0792764548678445e-05, 'gpp_d': 119.48328168545434, 'ign_k': 0.6720930050156113, 'ign_c': 82.41925264876441, 'trop_agb_crit': 13.780336485751999, 'trop_k_veg': 0.6139438440498544, 'fuel_k': 0.09905399864531553, 'fuel_half': 0.22264204303769677}.
[I 2026-08-14 14:03:05,584] Trial 6 finished with values: [-0.394272617660398, 5.416645715183854e-06] and parameters: {'k1': 0.028340904295147733, 'D_low': 5492.736444508447, 'k2': 0.00021066486017042195, 'D_high': 24.063018320720932, 'fire_exp': 2.0463613363481596, 'P_half': 19.986340778528874, 'pre_dampen_half': 44.46628955475442, 'gpp_af': 1.5409457762881555, 'gpp_b': 2.105118051960871, 'gpp_d': 2.296543234463434, 'ign_k': 0.003008686821445846, 'ign_c': 71.2818805840135, 'trop_agb_crit': 13.297554090738672, 'trop_k_veg': 2.370364278801894, 'fuel_k': 1.386319828528516, 'fuel_half': 3.0296104428212476}.
[I 2026-08-14 14:03:06,662] Trial 7 finished with values: [-0.4140207600381916, 3.0660306158392103e-06] and parameters: {'k1': 0.0012329098365270509, 'D_low': 367.4904945305323, 'k2': 1.263794633808287e-05, 'D_high': 44.39648242927527, 'fire_exp': 1.075051292556307, 'P_half': 351.2704726270846, 'pre_dampen_half': 0.37306104754535907, 'gpp_af': 0.34902252478382495, 'gpp_b': 2.788681037423117, 'gpp_d': 0.17638479543546878, 'ign_k': 0.04380580767905655, 'ign_c': 105.24574681335613, 'trop_agb_crit': 2.1775224101934065, 'trop_k_veg': 0.6189606672462583, 'fuel_k': 0.06382243375381637, 'fuel_half': 0.30455368715396786}.
[I 2026-08-14 14:03:07,755] Trial 8 finished with values: [-0.35686341208675765, 1.6287734383446661e-07] and parameters: {'k1': 0.05233480488540085, 'D_low': 70586.60227368641, 'k2': 0.0034167643418329683, 'D_high': 1693415.5410667954, 'fire_exp': 6.363148766597142, 'P_half': 5.575453980775371, 'pre_dampen_half': 290.2652141826387, 'gpp_af': 0.49740621749684094, 'gpp_b': 0.6992636148959319, 'gpp_d': 302.3127748796293, 'ign_k': 0.018707420137660268, 'ign_c': 0.2755546207779662, 'trop_agb_crit': 2.171140223187998, 'trop_k_veg': 1.6340262437673854, 'fuel_k': 1.8731335591844642, 'fuel_half': 38.211294416912246}.
[I 2026-08-14 14:03:08,951] Trial 9 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 1.0661259689433896e-05, 'D_low': 1160.0689839007139, 'k2': 0.0004673518999562748, 'D_high': 215.10319582575755, 'fire_exp': 1.317848138124919, 'P_half': 22.41097161910951, 'pre_dampen_half': 518.2609891091987, 'gpp_af': 0.04130614451133169, 'gpp_b': 0.012964140540905063, 'gpp_d': 32.741215209888836, 'ign_k': 0.02847858516856297, 'ign_c': 771.13129913311, 'trop_agb_crit': 26.402883285404346, 'trop_k_veg': 1.0049538030148353, 'fuel_k': 0.24067532026281035, 'fuel_half': 0.7991621920384354}.
[I 2026-08-14 14:03:10,069] Trial 10 finished with values: [-0.4919509656742537, 0.6206844468849979] and parameters: {'k1': 0.00013783578294796384, 'D_low': 1.6646452049870526, 'k2': 0.0027431991397796683, 'D_high': 10377.055497115112, 'fire_exp': 1.1258453832483524, 'P_half': 13.019246714361572, 'pre_dampen_half': 347.79988160923324, 'gpp_af': 0.015769192447197523, 'gpp_b': 7.402343469704428e-05, 'gpp_d': 2.8006820077310213, 'ign_k': 8.761971101023693, 'ign_c': 0.9294394155644988, 'trop_agb_crit': 9.836162684900028, 'trop_k_veg': 4.1309639246402785, 'fuel_k': 0.04572914063536324, 'fuel_half': 15.29850686893745}.
[I 2026-08-14 14:03:11,150] Trial 11 finished with values: [-0.41474530691191197, 0.004889770023938977] and parameters: {'k1': 0.00029589152820953097, 'D_low': 6220.638781359816, 'k2': 0.0034207303670092245, 'D_high': 16392.60991832772, 'fire_exp': 1.2310899049053081, 'P_half': 2193.8654178115053, 'pre_dampen_half': 0.4016986062226067, 'gpp_af': 0.008562341633595545, 'gpp_b': 1.7565109007473816e-05, 'gpp_d': 9.004606022643067, 'ign_k': 0.5131654955148326, 'ign_c': 0.11650681118986138, 'trop_agb_crit': 5.707205898008383, 'trop_k_veg': 0.9369104721775232, 'fuel_k': 0.6199941538390382, 'fuel_half': 0.3335026483569958}.
[I 2026-08-14 14:03:12,245] Trial 12 finished with values: [-0.364148791278095, 0.00048616226797493223] and parameters: {'k1': 0.0058043147174140705, 'D_low': 209.12794881839662, 'k2': 0.055836727227548205, 'D_high': 66.8537333582894, 'fire_exp': 2.1931399753552863, 'P_half': 2.843767489444367, 'pre_dampen_half': 420.2116526335304, 'gpp_af': 24.361092841799916, 'gpp_b': 0.0003528984625415794, 'gpp_d': 19.94895865188256, 'ign_k': 1.857328833311487, 'ign_c': 16.62659225403186, 'trop_agb_crit': 6.058402553512053, 'trop_k_veg': 0.977663002683211, 'fuel_k': 0.01814068034742312, 'fuel_half': 49.16400722913762}.
[I 2026-08-14 14:03:13,364] Trial 13 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.039964301676942524, 'D_low': 6289.393154519743, 'k2': 0.00022704877557909215, 'D_high': 1245.2525727440518, 'fire_exp': 5.3205395870154035, 'P_half': 3876.511170911631, 'pre_dampen_half': 272.54117335304034, 'gpp_af': 7.9319091138570625, 'gpp_b': 0.07115245297181685, 'gpp_d': 0.026345098397336078, 'ign_k': 0.004431133722857619, 'ign_c': 392.8409513479224, 'trop_agb_crit': 7.866277327549696, 'trop_k_veg': 0.5129137693018292, 'fuel_k': 0.019138297164869797, 'fuel_half': 9.783749110062345}.
[I 2026-08-14 14:03:14,513] Trial 14 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 1.0477226564098276e-05, 'D_low': 9.222492453004657, 'k2': 0.001566517163094646, 'D_high': 141700.435876028, 'fire_exp': 4.487053621524983, 'P_half': 7.890004262668578, 'pre_dampen_half': 36.38279896646442, 'gpp_af': 0.015354845024150165, 'gpp_b': 0.000896186069682789, 'gpp_d': 54.00786701286527, 'ign_k': 0.39676339357448603, 'ign_c': 249.39838794891443, 'trop_agb_crit': 9.362115196011851, 'trop_k_veg': 2.417028380770307, 'fuel_k': 0.018207179480706392, 'fuel_half': 1.2680822080429406}.
[I 2026-08-14 14:03:15,610] Trial 15 finished with values: [-0.357326874014418, 3.7523796292404654e-09] and parameters: {'k1': 0.00011502956321912731, 'D_low': 29.10300676616922, 'k2': 0.07799059237255677, 'D_high': 2283.4228779494524, 'fire_exp': 7.7991371065266675, 'P_half': 334.62201030483817, 'pre_dampen_half': 94.20121790275627, 'gpp_af': 0.325975879331736, 'gpp_b': 0.02893498807797731, 'gpp_d': 2.9012721497386225, 'ign_k': 0.006039096247545781, 'ign_c': 77.59048401667629, 'trop_agb_crit': 2.598572417333811, 'trop_k_veg': 0.5348713617837558, 'fuel_k': 0.6211831489538812, 'fuel_half': 0.33988503110784557}.
[I 2026-08-14 14:03:16,715] Trial 16 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.05778755734457457, 'D_low': 529141.0588169728, 'k2': 0.04565176372646328, 'D_high': 1663.2295851843426, 'fire_exp': 1.0362310858538248, 'P_half': 5167.425813322413, 'pre_dampen_half': 1.3833139021965035, 'gpp_af': 68.11991466118579, 'gpp_b': 6.049505313715197, 'gpp_d': 184.0972398983907, 'ign_k': 0.015058980408366392, 'ign_c': 3.470490935437501, 'trop_agb_crit': 18.081400596781233, 'trop_k_veg': 1.2038770175361675, 'fuel_k': 0.02957171323932571, 'fuel_half': 4.681702225035901}.
[I 2026-08-14 14:03:17,828] Trial 17 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.05554169083020911, 'D_low': 15003.023172658528, 'k2': 0.001906534551939351, 'D_high': 38.287672160557875, 'fire_exp': 4.121043764940998, 'P_half': 9124.632886689908, 'pre_dampen_half': 0.05016722470997861, 'gpp_af': 0.3905244791300363, 'gpp_b': 1.8375468962060828, 'gpp_d': 50.56419398267447, 'ign_k': 0.6138509947844857, 'ign_c': 64.55595882939564, 'trop_agb_crit': 3.3963467282786945, 'trop_k_veg': 1.128469461526162, 'fuel_k': 1.772261104101594, 'fuel_half': 26.9364391631794}.
[I 2026-08-14 14:03:18,985] Trial 18 finished with values: [-0.3554625854118624, 0.0] and parameters: {'k1': 0.02939607009739149, 'D_low': 301608.31845055183, 'k2': 0.0011101191524846067, 'D_high': 10211.693428871295, 'fire_exp': 6.284853792838699, 'P_half': 397.9749374103113, 'pre_dampen_half': 32.34702813589568, 'gpp_af': 9.527157550070955, 'gpp_b': 2.1879230865774306, 'gpp_d': 0.48975151064700323, 'ign_k': 0.03179302199939539, 'ign_c': 0.23764449553865358, 'trop_agb_crit': 7.148087950435349, 'trop_k_veg': 0.5523938241293617, 'fuel_k': 0.19656297483673957, 'fuel_half': 4.2455494542549035}.
