=== fitting Africa with FUEL_AMP form ===
[I 2026-06-10 21:13:58,144] A new study created in memory with name: no-name-9a07ae4d-3bc7-4a44-8c75-f5c4ee38ef18
[I 2026-06-10 21:14:00,402] Trial 0 finished with values: [10.622387895666215, 10.622387895666215] and parameters: {'k1': 0.028401063201780267, 'D_low': 16.00237013173313, 'k2': 0.00033271381912662167, 'D_high': 2427.054417940131, 'fire_exp': 1.5191397119156032, 'P_half': 157.80309954142965, 'pre_dampen_half': 8.259599205585761, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 3.965503094323014, 'ign_c': 22.126836566118193, 'trop_agb_crit': 5.526463318565575, 'trop_k_veg': 2.724170387400844, 'fuel_k': 0.10978148458640455, 'fuel_half': 71.14476009343416}.
[I 2026-06-10 21:14:02,620] Trial 1 finished with values: [10.716640252304856, 10.716640252304856] and parameters: {'k1': 0.008471801418819975, 'D_low': 248.10409748678117, 'k2': 4.207988669606632e-05, 'D_high': 42.070539502879384, 'fire_exp': 1.1430983876313219, 'P_half': 2915.443189153754, 'pre_dampen_half': 10.129197956845726, 'gpp_af': 3.4702669886504163, 'gpp_b': 1.3289448722869181e-05, 'gpp_d': 707.2114131472224, 'ign_k': 2.1368329072358767, 'ign_c': 0.70689749506246, 'trop_agb_crit': 1.8559980846490576, 'trop_k_veg': 0.83140195149031, 'fuel_k': 0.07002142869039264, 'fuel_half': 3.752055855124281}.
[I 2026-06-10 21:14:04,484] Trial 2 finished with values: [10.76623784746033, 10.76623784746033] and parameters: {'k1': 0.0005342937261279777, 'D_low': 14.61896279370496, 'k2': 0.0028016351587162596, 'D_high': 36.13894271216527, 'fire_exp': 1.9594972058679163, 'P_half': 29.204338471814108, 'pre_dampen_half': 1.9069966103000422, 'gpp_af': 8.43101393208247, 'gpp_b': 0.00015777663630582464, 'gpp_d': 3.725393839578884, 'ign_k': 0.23423849847112907, 'ign_c': 0.15339162591163621, 'trop_agb_crit': 7.896186801026689, 'trop_k_veg': 0.8022348220849581, 'fuel_k': 0.01516083650740451, 'fuel_half': 70.25166339242152}.
[I 2026-06-10 21:14:06,422] Trial 3 finished with values: [10.769224991500812, 10.769224991500812] and parameters: {'k1': 0.07286653737491042, 'D_low': 1712.3375973163984, 'k2': 0.00016536937182824412, 'D_high': 24.58603276328006, 'fire_exp': 4.833180632488465, 'P_half': 57.62487216478601, 'pre_dampen_half': 0.0407559644007287, 'gpp_af': 0.2991469302130217, 'gpp_b': 1.6081669283634658e-05, 'gpp_d': 352.0481045526035, 'ign_k': 0.010842262717330166, 'ign_c': 44.67752817973903, 'trop_agb_crit': 2.8869220380495735, 'trop_k_veg': 2.1144348148283285, 'fuel_k': 0.3302507755382605, 'fuel_half': 0.35856126103453967}.
[I 2026-06-10 21:14:08,828] Trial 4 finished with values: [10.769228872467407, 10.769228872467407] and parameters: {'k1': 0.07556810141274425, 'D_low': 1260.4664585649464, 'k2': 0.057279044707996205, 'D_high': 37958.531426706366, 'fire_exp': 3.961867790406583, 'P_half': 4869.640941520898, 'pre_dampen_half': 0.027698899227562825, 'gpp_af': 0.009548041810464166, 'gpp_b': 1.867943489455631e-05, 'gpp_d': 0.42330329965275953, 'ign_k': 0.03586816498627549, 'ign_c': 1.2172958098369964, 'trop_agb_crit': 16.755052359850303, 'trop_k_veg': 1.34444739467741, 'fuel_k': 0.060322392669638326, 'fuel_half': 4.247058562261868}.
[I 2026-06-10 21:14:10,779] Trial 5 finished with values: [10.769030943120706, 10.769030943120706] and parameters: {'k1': 3.661819220392426e-05, 'D_low': 1617.290081114315, 'k2': 1.9870215385428627e-05, 'D_high': 88623.26508576245, 'fire_exp': 5.918951335463645, 'P_half': 6.235377135673156, 'pre_dampen_half': 0.010656401760606449, 'gpp_af': 11.948328168545453, 'gpp_b': 0.17423847570785803, 'gpp_d': 44.16068895118583, 'ign_k': 1.2164139351417065, 'ign_c': 0.1977782851246272, 'trop_agb_crit': 3.384522041201139, 'trop_k_veg': 0.6894301219471972, 'fuel_k': 2.4993775341055975, 'fuel_half': 7.41129978108324}.
[I 2026-06-10 21:14:13,159] Trial 6 finished with values: [10.769098692965517, 10.769098692965517] and parameters: {'k1': 0.00021066486017042195, 'D_low': 1.7956984225677628, 'k2': 0.00017535949529764417, 'D_high': 199.86340778528879, 'fire_exp': 5.3654503243520235, 'P_half': 355.00125258511594, 'pre_dampen_half': 272.9378165037474, 'gpp_af': 0.22965432344634354, 'gpp_b': 5.2187377767381904e-05, 'gpp_d': 36.831884165358986, 'ign_k': 1.1044350847124695, 'ign_c': 17.583640270008505, 'trop_agb_crit': 13.766134492174427, 'trop_k_veg': 1.9658897090912955, 'fuel_k': 0.28328975157735103, 'fuel_half': 1.9170041589170652}.
[I 2026-06-10 21:14:15,012] Trial 7 finished with values: [10.757188332997073, 10.757188332997073] and parameters: {'k1': 1.263794633808287e-05, 'D_low': 2.7012557725439073, 'k2': 1.3357240411974104e-05, 'D_high': 3512.7047262708465, 'fire_exp': 2.0623196560647115, 'P_half': 108.21382910613987, 'pre_dampen_half': 345.01054536130147, 'gpp_af': 0.017638479543546873, 'gpp_b': 0.0028993292583566945, 'gpp_d': 59.94537656798816, 'ign_k': 0.008226074946221037, 'ign_c': 0.20319809838424974, 'trop_agb_crit': 2.679156169946616, 'trop_k_veg': 0.7818074020304813, 'fuel_k': 3.826843441487287, 'fuel_half': 26.56813924114492}.
[I 2026-06-10 21:14:17,169] Trial 8 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0034167643418329683, 'D_low': 3060.8522106722494, 'k2': 0.016394127471631596, 'D_high': 55.75453980775374, 'fire_exp': 7.8083450855424115, 'P_half': 143.67095138664226, 'pre_dampen_half': 108.94336258132203, 'gpp_af': 30.231277487962974, 'gpp_b': 0.000809134743599756, 'gpp_d': 0.03550255612313078, 'ign_k': 0.008160948743089917, 'ign_c': 5.11012065649716, 'trop_agb_crit': 16.155001304356414, 'trop_k_veg': 5.437420238162096, 'fuel_k': 0.010454760061291155, 'fuel_half': 3.4059785435329952}.
[I 2026-06-10 21:14:18,996] Trial 9 finished with values: [10.769208427428909, 10.769208427428909] and parameters: {'k1': 0.0004673518999562748, 'D_low': 7.734482156646792, 'k2': 3.0162092627967762e-05, 'D_high': 224.10971619109526, 'fire_exp': 8.76818498976553, 'P_half': 19.625093208439857, 'pre_dampen_half': 3.926025433552808, 'gpp_af': 3.2741215209888828, 'gpp_b': 0.0015197691143574409, 'gpp_d': 722.6207258080483, 'ign_k': 7.076022085822011, 'ign_c': 1.0165510266418727, 'trop_agb_crit': 5.426206745606971, 'trop_k_veg': 1.1514990646668621, 'fuel_k': 0.06184861455357293, 'fuel_half': 0.12902113024567152}.
[I 2026-06-10 21:14:21,257] Trial 10 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0027431991397796683, 'D_low': 102.49816559563212, 'k2': 1.6066267921727703e-05, 'D_high': 130.1924671436157, 'fire_exp': 8.095913996298554, 'P_half': 9.083381663660585, 'pre_dampen_half': 0.053024228766843526, 'gpp_af': 0.28006820077310235, 'gpp_b': 8.20167818679501, 'gpp_d': 0.1622842443218898, 'ign_k': 0.4881375191603672, 'ign_c': 111.29571947045997, 'trop_agb_crit': 2.243982507529704, 'trop_k_veg': 3.7655625092973986, 'fuel_k': 0.10513738477836053, 'fuel_half': 7.887102624766473}.
