[I 2026-06-09 12:00:37,498] A new study created in memory with name: no-name-61f1ac63-2598-4b78-9083-51bff524db04
[I 2026-06-09 12:00:38,489] Trial 0 finished with values: [10.349574581652188, 10.349574581652188] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.10409127568994281, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'trop_agb_crit': 7.500118950416987, 'trop_k_veg': 6.9782110227926815}.
[I 2026-06-09 12:00:39,462] Trial 1 finished with values: [10.891612726928239, 10.891612726928239] and parameters: {'k1': 0.00031489116479568613, 'D_low': 6351.221010640702, 'k2': 0.008471801418819975, 'D_high': 2481.0409748678126, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876}.
[I 2026-06-09 12:00:40,424] Trial 2 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 5.3370327626039544e-05, 'D_low': 5.415244119402537, 'k2': 0.00016480446427978953, 'D_high': 1256.1043700013558, 'fire_exp': 2.7036160666620015, 'P_half': 14.61896279370496, 'pre_dampen_half': 11.462107403425028, 'gpp_af': 0.004982752357076452, 'gpp_b': 0.0005660670699258885, 'gpp_d': 0.6789053271698483, 'ign_k': 0.06672367170464207, 'ign_c': 138.26232179369853, 'trop_agb_crit': 1.9721610970573997, 'trop_k_veg': 2.0805107656418516}.
[I 2026-06-09 12:00:41,432] Trial 3 finished with values: [10.890968692140712, 10.890968692140712] and parameters: {'k1': 0.00234238498471129, 'D_low': 1.533916259116362, 'k2': 0.0026926469100861782, 'D_high': 48.094619675015736, 'fire_exp': 1.1615865989246452, 'P_half': 6245.139574743073, 'pre_dampen_half': 673.2248920775328, 'gpp_af': 11.015056790269638, 'gpp_b': 0.0006724850206557243, 'gpp_d': 0.030786517836196188, 'ign_k': 0.5456725485601477, 'ign_c': 5.762487216478598, 'trop_agb_crit': 1.5144860262751405, 'trop_k_veg': 1.97343313857243}.
[I 2026-06-09 12:00:42,538] Trial 4 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 1.3726318898045866e-05, 'D_low': 4337.920697490941, 'k2': 0.00010842262717330161, 'D_high': 4467.752817973911, 'fire_exp': 2.0497980520950176, 'P_half': 120.30178871154668, 'pre_dampen_half': 5.414413211338521, 'gpp_af': 0.008399864445957504, 'gpp_b': 6.569128640939173, 'gpp_d': 75.10418138777538, 'ign_k': 5.727904470799623, 'ign_c': 379.5853142670635, 'trop_agb_crit': 7.641361869233315, 'trop_k_veg': 6.441947664628757}.
[I 2026-06-09 12:00:43,550] Trial 5 finished with values: [10.882569275035653, 10.882569275035653] and parameters: {'k1': 2.259279742015695e-05, 'D_low': 6.0803901902966, 'k2': 1.5167330688076188e-05, 'D_high': 200.1342062287997, 'fire_exp': 2.447244097399011, 'P_half': 12.172958098369968, 'pre_dampen_half': 139.2154853304649, 'gpp_af': 0.06078083099681954, 'gpp_b': 0.0004848496183873286, 'gpp_d': 5.1698794422985355, 'ign_k': 0.0036618192203924276, 'ign_c': 161.72900811143117, 'trop_agb_crit': 1.2886065671894003, 'trop_k_veg': 7.714366810951191}.
[I 2026-06-09 12:00:44,575] Trial 6 finished with values: [10.89285712087901, 10.89285712087901] and parameters: {'k1': 0.012273800987852962, 'D_low': 6.235377135673156, 'k2': 1.0521761868451132e-05, 'D_high': 18274.50885981603, 'fire_exp': 5.0916359458185525, 'P_half': 824.1925264876451, 'pre_dampen_half': 71.8375865581399, 'gpp_af': 0.002345434227726052, 'gpp_b': 0.0014151235919053699, 'gpp_d': 0.03796166895800813, 'ign_k': 2.8340904295147746, 'ign_c': 31.130959561221214, 'trop_agb_crit': 3.0816017044468054, 'trop_k_veg': 0.5963509068133073}.
[I 2026-06-09 12:00:45,599] Trial 7 finished with values: [10.892843134428784, 10.892843134428784] and parameters: {'k1': 0.00017535949529764417, 'D_low': 19.986340778528874, 'k2': 0.008287522363768155, 'D_high': 3550.0125258511603, 'fire_exp': 7.712811947156349, 'P_half': 77.42116473996248, 'pre_dampen_half': 0.039625178325723404, 'gpp_af': 3.6831884165358977, 'gpp_b': 0.36703737625293875, 'gpp_d': 6.403036652671167, 'ign_k': 1.2130221181165162, 'ign_c': 9.444574254983557, 'trop_agb_crit': 5.917520523090666, 'trop_k_veg': 1.6359901628520876}.
[I 2026-06-09 12:00:46,641] Trial 8 finished with values: [10.852885453064191, 10.852885453064191] and parameters: {'k1': 1.263794633808287e-05, 'D_low': 2.7012557725439073, 'k2': 1.3357240411974104e-05, 'D_high': 3512.7047262708465, 'fire_exp': 2.0623196560647115, 'P_half': 108.21382910613987, 'pre_dampen_half': 345.01054536130147, 'gpp_af': 0.017638479543546873, 'gpp_b': 0.0028993292583566945, 'gpp_d': 59.94537656798816, 'ign_k': 0.008226074946221037, 'ign_c': 0.20319809838424974, 'trop_agb_crit': 2.679156169946616, 'trop_k_veg': 0.7818074020304813}.
[I 2026-06-09 12:00:47,687] Trial 9 finished with values: [10.892822059374613, 10.892822059374613] and parameters: {'k1': 0.05233480488540085, 'D_low': 1707.9750342958232, 'k2': 0.0034167643418329683, 'D_high': 30608.522106722474, 'fire_exp': 6.363148766597142, 'P_half': 5.575453980775371, 'pre_dampen_half': 290.2652141826387, 'gpp_af': 0.49740621749684094, 'gpp_b': 0.6992636148959319, 'gpp_d': 302.3127748796293, 'ign_k': 0.018707420137660268, 'ign_c': 0.2755546207779662, 'trop_agb_crit': 2.171140223187998, 'trop_k_veg': 1.6340262437673854}.
[I 2026-06-09 12:00:48,777] Trial 10 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.018709365688887352, 'D_low': 2772.8241828010623, 'k2': 1.0661259689433896e-05, 'D_high': 1104.0511903162253, 'fire_exp': 2.6146345949334338, 'P_half': 7.734482156646792, 'pre_dampen_half': 0.03974905761171867, 'gpp_af': 0.0487613652796118, 'gpp_b': 4.54420822548832, 'gpp_d': 0.41306144511331677, 'ign_k': 0.1188946976953047, 'ign_c': 64.87477066058676, 'trop_agb_crit': 3.4444906842114507, 'trop_k_veg': 7.397964260767156}.
[I 2026-06-09 12:00:49,849] Trial 11 finished with values: [10.816585184496786, 10.816585184496786] and parameters: {'k1': 0.07076022085822008, 'D_low': 10.16551026641873, 'k2': 0.0009749762207436118, 'D_high': 159.77662354833882, 'fire_exp': 1.9268171109476195, 'P_half': 1.4045842344024697, 'pre_dampen_half': 11.164047352793695, 'gpp_af': 0.32613327839065587, 'gpp_b': 2.036444166653217e-05, 'gpp_d': 0.2473046721099913, 'ign_k': 4.295992790539128, 'ign_c': 0.9083381663660584, 'trop_agb_crit': 1.6369193980425034, 'trop_k_veg': 1.942360571179168}.
[I 2026-06-09 12:00:50,874] Trial 12 finished with values: [10.88473213385062, 10.88473213385062] and parameters: {'k1': 0.0876197110102369, 'D_low': 9.29439415564499, 'k2': 0.00488137519160367, 'D_high': 11129.571947046003, 'fire_exp': 1.7283732813150752, 'P_half': 818.2111518618419, 'pre_dampen_half': 0.6901057779813305, 'gpp_af': 1.4505381415853764, 'gpp_b': 0.06326714903289278, 'gpp_d': 4.773901130843779, 'ign_k': 0.002296989871634209, 'ign_c': 219.38654178115047, 'trop_agb_crit': 2.9773579612263776, 'trop_k_veg': 0.8386112223118042}.
[I 2026-06-09 12:00:51,902] Trial 13 finished with values: [10.892857062334919, 10.892857062334919] and parameters: {'k1': 1.4557961490251982e-05, 'D_low': 230.97861492693565, 'k2': 0.0051316549551483235, 'D_high': 11.650681118986137, 'fire_exp': 3.251569628166816, 'P_half': 8.053471030316096, 'pre_dampen_half': 16.821470258034143, 'gpp_af': 0.007444441903453077, 'gpp_b': 0.1398383943321133, 'gpp_d': 0.8583743499363278, 'ign_k': 5.583672722754823, 'ign_c': 0.3548818403010947, 'trop_agb_crit': 3.1900416724175513, 'trop_k_veg': 0.684866208883196}.
[I 2026-06-09 12:00:52,942] Trial 14 finished with values: [10.8928570204052, 10.8928570204052] and parameters: {'k1': 0.0499774937030317, 'D_low': 3231.152185441098, 'k2': 0.00010758866306767925, 'D_high': 4364.516946807793, 'fire_exp': 6.56481058995875, 'P_half': 166.26592254031868, 'pre_dampen_half': 4.448902538066168, 'gpp_af': 0.0161905444947165, 'gpp_b': 3.619233530807127e-05, 'gpp_d': 306.25189859246717, 'ign_k': 3.996430167694254, 'ign_c': 34.07264348530189, 'trop_agb_crit': 3.1680214273730964, 'trop_k_veg': 1.3166193431785276}.
[I 2026-06-09 12:00:53,936] Trial 15 finished with values: [10.892857135221956, 10.892857135221956] and parameters: {'k1': 0.008013508750140624, 'D_low': 3876.511170911631, 'k2': 0.035346441441965824, 'D_high': 13167.465326936133, 'fire_exp': 4.385626537779657, 'P_half': 2.170500348871113, 'pre_dampen_half': 0.06429002142212088, 'gpp_af': 31.10075575727492, 'gpp_b': 0.04350852476027554, 'gpp_d': 0.011116939907244593, 'ign_k': 0.002546162816127691, 'ign_c': 45.08240502480678, 'trop_agb_crit': 1.0173644855445005, 'trop_k_veg': 0.7809121724197498}.
[I 2026-06-09 12:00:54,981] Trial 16 finished with values: [10.892856898671768, 10.892856898671768] and parameters: {'k1': 0.001566517163094646, 'D_low': 585.5726588796255, 'k2': 0.004053638704742309, 'D_high': 78.90004262668583, 'fire_exp': 5.154413091020758, 'P_half': 8.89193644629625, 'pre_dampen_half': 0.4236414938631993, 'gpp_af': 5.400786701286536, 'gpp_b': 0.07903098490824653, 'gpp_d': 176.24510039685507, 'ign_k': 0.42702329684055446, 'ign_c': 18.760068220300635, 'trop_agb_crit': 1.3752099014456878, 'trop_k_veg': 1.3859384729785302}.
[I 2026-06-09 12:00:56,101] Trial 17 finished with values: [10.892857141207868, 10.892857141207868] and parameters: {'k1': 0.00011502956321912731, 'D_low': 9.461469059966106, 'k2': 0.07799059237255677, 'D_high': 373.58626308127526, 'fire_exp': 7.7991371065266675, 'P_half': 334.62201030483817, 'pre_dampen_half': 94.20121790275627, 'gpp_af': 0.325975879331736, 'gpp_b': 0.02893498807797731, 'gpp_d': 2.9012721497386225, 'ign_k': 0.006039096247545781, 'ign_c': 77.59048401667629, 'trop_agb_crit': 2.598572417333811, 'trop_k_veg': 0.5348713617837558}.
[I 2026-06-09 12:00:57,191] Trial 18 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.003818468247973967, 'D_low': 5.110256715654394, 'k2': 0.05778755734457457, 'D_high': 65420.56762893137, 'fire_exp': 8.219859422471128, 'P_half': 30.243691612726472, 'pre_dampen_half': 0.011947666257325972, 'gpp_af': 43.811973159775704, 'gpp_b': 0.0037077025863479786, 'gpp_d': 681.1991466118568, 'ign_k': 7.152863022216533, 'ign_c': 258.2485084490612, 'trop_agb_crit': 2.722304599344761, 'trop_k_veg': 1.4543665408669184}.
[I 2026-06-09 12:00:58,252] Trial 19 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.025383218374507292, 'D_low': 18.522006003174383, 'k2': 4.763991596630584e-05, 'D_high': 1687.3495104568947, 'fire_exp': 8.63286151453424, 'P_half': 608.3019192425825, 'pre_dampen_half': 7.084445284509009, 'gpp_af': 0.0030611349005284453, 'gpp_b': 0.04898277215907763, 'gpp_d': 891.8036602897795, 'ign_k': 0.0036335911653931643, 'ign_c': 11.83909783475769, 'trop_agb_crit': 19.76907790520487, 'trop_k_veg': 3.898919778175284}.
[I 2026-06-09 12:00:59,256] Trial 20 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 0.006138509947844854, 'D_low': 645.5595882939565, 'k2': 0.00027413507419758244, 'D_high': 149.40577239079744, 'fire_exp': 6.44705173818705, 'P_half': 1739.6167422846984, 'pre_dampen_half': 216.45199495862124, 'gpp_af': 36.830088529547496, 'gpp_b': 0.011696458740181149, 'gpp_d': 3.2179661649786304, 'ign_k': 1.5602015889668863, 'ign_c': 39.797493741031076, 'trop_agb_crit': 10.886548068709027, 'trop_k_veg': 4.541505658710469}.
[I 2026-06-09 12:01:00,263] Trial 21 finished with values: [10.891839674913353, 10.891839674913353] and parameters: {'k1': 0.036309591863459084, 'D_low': 22.4895428439145, 'k2': 0.0003179302199939536, 'D_high': 23.764449553865358, 'fire_exp': 3.7868677728134013, 'P_half': 1.3924162890248675, 'pre_dampen_half': 2.1280904885895833, 'gpp_af': 0.516681811478353, 'gpp_b': 0.0005238989315858796, 'gpp_d': 8.998420889037451, 'ign_k': 0.0013243445838637983, 'ign_c': 0.1410563867753527, 'trop_agb_crit': 16.408949267986486, 'trop_k_veg': 1.3573215776466403}.
[I 2026-06-09 12:01:01,287] Trial 22 finished with values: [10.892857142659844, 10.892857142659844] and parameters: {'k1': 3.2228645289680296e-05, 'D_low': 122.73630375458193, 'k2': 0.012021930484915042, 'D_high': 72.99348683062307, 'fire_exp': 4.196531388460442, 'P_half': 2.194774268919734, 'pre_dampen_half': 0.018130450933931484, 'gpp_af': 0.4537045742450092, 'gpp_b': 0.01753116307851898, 'gpp_d': 15.386842469144066, 'ign_k': 0.8023527304678846, 'ign_c': 800.5866020696456, 'trop_agb_crit': 5.789462140980137, 'trop_k_veg': 1.2241886451770958}.
[I 2026-06-09 12:01:02,327] Trial 23 finished with values: [10.882375556456344, 10.882375556456344] and parameters: {'k1': 0.015161591075671724, 'D_low': 12.115155843077673, 'k2': 0.0005700142105246941, 'D_high': 20.59802236544963, 'fire_exp': 1.060109541566103, 'P_half': 7089.141723796886, 'pre_dampen_half': 151.32148777056312, 'gpp_af': 3.0190550386581414, 'gpp_b': 0.0028426125329232715, 'gpp_d': 0.0735311909944862, 'ign_k': 0.004224235973517089, 'ign_c': 1.0022396791143333, 'trop_agb_crit': 6.475515989686909, 'trop_k_veg': 3.6260119779455584}.
[I 2026-06-09 12:01:03,387] Trial 24 finished with values: [10.891950278195775, 10.891950278195775] and parameters: {'k1': 0.004373100990516265, 'D_low': 13.174543864342764, 'k2': 0.06598741607403362, 'D_high': 8945.150807271531, 'fire_exp': 3.583884892516702, 'P_half': 279.82272717049284, 'pre_dampen_half': 1.2531420756075002, 'gpp_af': 0.017324270154949112, 'gpp_b': 0.0013672126623075966, 'gpp_d': 61.550353610401785, 'ign_k': 0.0011417577140741143, 'ign_c': 0.29126651668813763, 'trop_agb_crit': 1.1693687409928537, 'trop_k_veg': 0.559773544096922}.
[I 2026-06-09 12:01:04,428] Trial 25 finished with values: [10.892589249527022, 10.892589249527022] and parameters: {'k1': 0.02641449645424223, 'D_low': 652.5765108342365, 'k2': 0.0007883068789768041, 'D_high': 24.622754931226588, 'fire_exp': 3.1018148805490564, 'P_half': 78.32259769732477, 'pre_dampen_half': 0.07345296810407675, 'gpp_af': 0.14765842992482675, 'gpp_b': 0.0024605285374226047, 'gpp_d': 12.00191344086031, 'ign_k': 0.34703605955441524, 'ign_c': 0.15178052094448868, 'trop_agb_crit': 3.575594457014808, 'trop_k_veg': 2.835178685110773}.
