########## REGION=Africa TAG=coupledE_af ##########
[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] REGION=Africa: fitting 1816 land cells only
[opt] warm-start from params.coupledE_fx.json
[warm] Overall=0.6071  bias=0.6953 rmse=0.3646 seas=0.8005 spatial=0.8107
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 21:40:53,486] A new study created in memory with name: no-name-45cb251d-9fcd-41df-8224-8fbb265eab7f
[opt] running 1500 trials against GFED5 ...
[I 2026-07-22 21:40:58,540] Trial 11 finished with values: [10.719159962617354, 10.719159962617354] and parameters: {'k1': 0.00029589152820953097, 'D_low': 6220.638781359816, 'k2': 0.0034207303670092245, 'D_high': 16392.60991832772, 'fire_exp': 1.0862503061991866, 'P_half': 2193.8654178115053, 'pre_dampen_half': 0.4016986062226068, 'gpp_af': 0.008562341633595545, 'gpp_b': 1.7565109007473816e-05, 'gpp_d': 9.00460602264307, 'ign_k': 0.5131654955148324, 'ign_c': 0.11650681118986138, 'trop_agb_crit': 5.707205898008383, 'trop_k_veg': 0.9369104721775232, 'fuel_k': 0.6199941538390381, 'fuel_half': 0.3335026483569958}.
[I 2026-07-22 21:40:58,989] Trial 12 finished with values: [10.748214531650225, 10.748214531650225] and parameters: {'k1': 0.0058043147174140705, 'D_low': 209.12794881839662, 'k2': 0.05583672722754823, 'D_high': 66.8537333582894, 'fire_exp': 1.3668597238529023, 'P_half': 2.843767489444367, 'pre_dampen_half': 420.2116526335304, 'gpp_af': 24.361092841799906, 'gpp_b': 0.0003528984625415794, 'gpp_d': 19.948958651882567, 'ign_k': 1.8573288333114872, 'ign_c': 16.626592254031866, 'trop_agb_crit': 6.058402553512053, 'trop_k_veg': 0.977663002683211, 'fuel_k': 0.01814068034742312, 'fuel_half': 49.16400722913764}.
[I 2026-07-22 21:40:59,436] Trial 13 finished with values: [10.769230768574444, 10.769230768574444] and parameters: {'k1': 0.039964301676942544, 'D_low': 6289.393154519743, 'k2': 0.00022704877557909215, 'D_high': 1245.2525727440518, 'fire_exp': 1.9448531254277797, 'P_half': 3876.511170911631, 'pre_dampen_half': 272.54117335304034, 'gpp_af': 7.931909113857066, 'gpp_b': 0.07115245297181685, 'gpp_d': 0.026345098397336078, 'ign_k': 0.004431133722857619, 'ign_c': 392.8409513479224, 'trop_agb_crit': 7.866277327549696, 'trop_k_veg': 0.5129137693018292, 'fuel_k': 0.019138297164869797, 'fuel_half': 9.783749110062345}.
[I 2026-07-22 21:40:59,851] Trial 14 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 1.0477226564098276e-05, 'D_low': 9.222492453004657, 'k2': 0.001566517163094646, 'D_high': 141700.435876028, 'fire_exp': 1.81736211004779, 'P_half': 7.890004262668578, 'pre_dampen_half': 36.382798966464456, 'gpp_af': 0.015354845024150165, 'gpp_b': 0.0008961860696827889, 'gpp_d': 54.0078670128653, 'ign_k': 0.3967633935744862, 'ign_c': 249.39838794891463, 'trop_agb_crit': 9.362115196011851, 'trop_k_veg': 2.417028380770307, 'fuel_k': 0.018207179480706392, 'fuel_half': 1.2680822080429408}.
[I 2026-07-22 21:41:00,282] Trial 15 finished with values: [10.764425883942163, 10.764425883942163] and parameters: {'k1': 0.00011502956321912731, 'D_low': 29.10300676616922, 'k2': 0.07799059237255677, 'D_high': 2283.4228779494524, 'fire_exp': 2.264545306066772, 'P_half': 334.62201030483817, 'pre_dampen_half': 94.20121790275627, 'gpp_af': 0.3259758793317361, 'gpp_b': 0.02893498807797731, 'gpp_d': 2.901272149738622, 'ign_k': 0.006039096247545781, 'ign_c': 77.59048401667629, 'trop_agb_crit': 2.598572417333811, 'trop_k_veg': 0.5348713617837559, 'fuel_k': 0.6211831489538813, 'fuel_half': 0.33988503110784557}.
[I 2026-07-22 21:41:00,689] Trial 16 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.05778755734457457, 'D_low': 529141.0588169728, 'k2': 0.045651763726463325, 'D_high': 1663.2295851843426, 'fire_exp': 1.0142635214292253, 'P_half': 5167.425813322413, 'pre_dampen_half': 1.3833139021965037, 'gpp_af': 68.11991466118579, 'gpp_b': 6.0495053137151995, 'gpp_d': 184.09723989839054, 'ign_k': 0.015058980408366392, 'ign_c': 3.470490935437501, 'trop_agb_crit': 18.081400596781233, 'trop_k_veg': 1.2038770175361675, 'fuel_k': 0.029571713239325698, 'fuel_half': 4.681702225035901}.
[I 2026-07-22 21:41:01,097] Trial 17 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.05554169083020913, 'D_low': 15003.023172658528, 'k2': 0.001906534551939351, 'D_high': 38.28767216055789, 'fire_exp': 1.7568552513978481, 'P_half': 9124.632886689908, 'pre_dampen_half': 0.05016722470997861, 'gpp_af': 0.39052447913003624, 'gpp_b': 1.8375468962060835, 'gpp_d': 50.56419398267449, 'ign_k': 0.6138509947844858, 'ign_c': 64.55595882939558, 'trop_agb_crit': 3.3963467282786945, 'trop_k_veg': 1.128469461526162, 'fuel_k': 1.7722611041015948, 'fuel_half': 26.9364391631794}.
[I 2026-07-22 21:41:01,502] Trial 18 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.0293960700973915, 'D_low': 301608.31845055183, 'k2': 0.0011101191524846067, 'D_high': 10211.693428871276, 'fire_exp': 2.0781342038801354, 'P_half': 397.9749374103113, 'pre_dampen_half': 32.34702813589569, 'gpp_af': 9.527157550070955, 'gpp_b': 2.1879230865774315, 'gpp_d': 0.4897515106470031, 'ign_k': 0.03179302199939539, 'ign_c': 0.23764449553865352, 'trop_agb_crit': 7.148087950435349, 'trop_k_veg': 0.5523938241293617, 'fuel_k': 0.19656297483673962, 'fuel_half': 4.245549454254903}.
[I 2026-07-22 21:41:01,916] Trial 19 finished with values: [10.769197968769811, 10.769197968769811] and parameters: {'k1': 0.00014001191914113747, 'D_low': 3507.515213502105, 'k2': 1.3243445838637965e-05, 'D_high': 16.752866684650684, 'fire_exp': 2.1249351191954107, 'P_half': 27.59069025439785, 'pre_dampen_half': 0.043181981126981975, 'gpp_af': 0.40852280036686234, 'gpp_b': 0.4168322557207809, 'gpp_d': 0.11997897226934479, 'ign_k': 0.31014294272127435, 'ign_c': 0.21947742689197342, 'trop_agb_crit': 1.1921754348704765, 'trop_k_veg': 2.1816482703680733, 'fuel_k': 0.31766263870651756, 'fuel_half': 8.17127270071559}.
[I 2026-07-22 21:41:02,322] Trial 20 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.008023527304678842, 'D_low': 716328.9063135319, 'k2': 0.0011619873314872927, 'D_high': 866.4406862241786, 'fire_exp': 2.0722225778720227, 'P_half': 12.115155843077673, 'pre_dampen_half': 1.5662356447891175, 'gpp_af': 0.0024676405980083274, 'gpp_b': 1.4193988874743626e-05, 'gpp_d': 650.4921701204659, 'ign_k': 2.2076004913185185, 'ign_c': 60.79905434073391, 'trop_agb_crit': 4.018584329485901, 'trop_k_veg': 0.8084202024508578, 'fuel_k': 0.027202308755889835, 'fuel_half': 0.5632856590781126}.
