iso3,admin,continent,area_km2,burned_frac_pct,p_ann,t_air,gpp,gdp_pcap,pop,popdens
ZWE,Zimbabwe,Africa,394418.11859640764,13.461340358211304,666.025764871068,21.940867758842778,0.3123016083355093,1154.1388039771705,13565958.5,34.394866413024765
ZMB,Zambia,Africa,747925.5819212915,50.491651407400624,969.2710218632475,22.54979443091972,0.5982565457811801,1159.2876478976527,14356653.15,19.195296292874808
YEM,Yemen,Asia,460568.87479395175,0.007787727867317439,174.46661937955233,23.29000885728908,0.045438810968352325,935.0115655608926,27515232.45,59.741840918602456
VNM,Vietnam,Asia,333385.4507508613,11.682658657145547,1778.9482587152202,24.135190956199832,1.840832762224067,1797.6074479776137,87817343.1,263.4108444211197
VEN,Venezuela,South America,894907.6276966475,5.575095862563933,1976.2690667943514,25.627302450016092,2.2569520326849832,6562.977252179936,28380708.95,31.713562463477388
VUT,Vanuatu,Oceania,8909.749414073705,0.030606893324464132,988.3269350783902,8.15655961005051,0.7019996530076359,2699.199492863053,241953.05,27.155988205214236
UZB,Uzbekistan,Asia,447561.15267007786,0.9581135216915305,175.43741131366818,9.380024199335843,0.0006068931812358868,1667.1932802027573,28849615.95,64.45960686687803
URY,Uruguay,South America,181782.5578360445,1.5790602908965843,1304.0460627794287,18.552518066994036,2.517988229755473,12175.972521421336,3330453.65,18.321084759979243
PRI,Puerto Rico,North America,8806.782021366409,0.7195762624420848,2255.971372477214,24.934551493326822,2.430721596100281,25911.46341985121,3640156.05,413.3355453976837
USA,United States of America,North America,9423020.252945408,0.7385448117391097,688.0423557300221,9.618568483428657,0.44955652199875695,50842.81771956019,309807609.95,32.877740006253475
GBR,United Kingdom,Europe,241252.7365373933,0.2908584815438726,1150.6353161848388,8.730245787705803,0.8845607437603453,41434.499874516034,62979228.15,261.05083429898605
ARE,United Arab Emirates,Asia,65037.09069914154,0.0017259548128199028,7.66350828618794,4.916981974590153,6.910646690038924e-06,42678.54665562461,6829273.15,105.00582170244807
UKR,Ukraine,Europe,584181.2803693917,7.203214941548458,558.8903461765454,9.342085248479904,0.3569806482986936,2664.3218231201186,46610297.15,79.78738572473121
UGA,Uganda,Africa,250237.72142139223,20.888890899692953,971.385540128954,19.27972812648244,0.3906138605066196,619.0414928038316,33476629.05,133.77930737159502
TKM,Turkmenistan,Asia,467309.87428733753,0.7381417284525906,94.28620060243993,9.903917882911507,7.27043178143954e-05,3749.208247243479,5703502.8,12.204969579763372
TUR,Turkey,Asia,780021.6446732183,1.922356040587126,591.3584704429386,11.418400657459145,0.3715787154964603,9086.446018126839,74169687.45,95.08670426840861
TUN,Tunisia,Africa,155859.61462901102,0.16590308197058218,258.13392357784784,17.894789275937832,0.06429970566207133,3645.3595388474123,10879464.3,69.80297189811571
TGO,Togo,Africa,55008.84470523912,60.49974600513775,1227.3913480838714,27.452545445042137,1.1476527059673944,751.6621238769922,6342229.4,115.29472094868332
TLS,East Timor,Asia,18322.175166190074,3.64681543672282,1342.2979645534258,24.288365317181082,1.198383244295871,923.8040336652633,1090842.0,59.536708393276996
THA,Thailand,Asia,515312.47046829783,14.65996267924831,1607.4726229999899,26.75815229351825,1.3229981683011465,4752.362017175577,68392554.65,132.72055028640634
TZA,United Republic of Tanzania,Africa,939185.7958038418,22.640131810594873,825.8236204766054,21.230572207540185,0.8384138112284569,749.3145919799811,46502824.0,49.51397711482486
TJK,Tajikistan,Asia,137915.17899512904,0.277870881521974,565.7479127607037,2.7471348906991135,0.028638443847326275,663.1430656861066,7885443.8,57.17604006647087
SYR,Syria,Asia,184593.70380887712,1.4572827156805124,282.7029626683539,19.28747567600305,0.04538796820621894,1491.0718846289,20128969.9,109.04472625372391
CHE,Switzerland,Europe,35984.84512756671,0.0901319445975429,814.7932824023204,5.06069613584384,0.5334876987000502,73437.23983928331,7897720.9,219.4735275920317
SWE,Sweden,Europe,437932.70768596313,0.09492097181366836,625.6009074978459,2.9642195628978607,0.7203661409569317,49435.36155909083,9488985.65,21.6676797221651
SWZ,eSwatini,Africa,13813.163338536046,13.231941710927808,792.7824536902021,19.988813268494383,1.184600933582268,3216.2501124377095,1115972.65,80.79052007490947
SUR,Suriname,South America,151044.0143737494,0.29023062663271504,2179.7795231851487,25.13432402190795,2.6252025870795133,5923.352629300511,552675.0,3.6590327812159353
SSD,South Sudan,Africa,615960.6452073426,64.8539548977347,993.8882422438511,29.03780445034121,0.2261238767589096,1375.87731816094,9284566.0,15.07331040098294
SDN,Sudan,Africa,1865854.4720475366,6.449702451575964,250.32124931247893,28.42135296915585,0.004912706092072154,990.6832443237308,36403222.85,19.510215504670157
LKA,Sri Lanka,Asia,67386.38382467444,5.047721605637182,1664.6749455285085,25.292525820227844,1.626872648785562,2687.747833704595,20766856.4,308.17585425018655
ESP,Spain,Europe,501778.5464190905,0.819114422671206,621.8612630158552,13.455653624825997,0.7373456829790156,27647.638466123055,45342751.4,90.36406941585199
KOR,South Korea,Asia,99421.67561009982,0.5695542063184099,1324.5350692842947,11.153904102985368,1.3568553671656534,25055.173159573365,49715285.9,500.0447396900404
