country,iso3,cells,model_km2_y,obs_km2_y,ratio,model_peak,obs_peak,phase_months
Japan,JPN,115,1652.6865386777545,366.28397429745365,4.512036164966455,Apr,Mar,1
Jersey,JEY,1,0.0,0.0016081761604368448,0.0,Jan,Jul,6
Jordan,JOR,17,406.1609579034005,49.56678186236314,8.194216825115392,Jul,Jun,1
Kazakhstan,KAZ,408,63056.68931596986,134844.28808938205,0.46762595738703067,Apr,Apr,0
Kenya,KEN,70,59360.49876739985,11346.706785151275,5.231517821988775,Sep,Feb,5
Kiribati,KIR,26,0.0,0.0,inf,Jan,Jan,0
Kosovo,KOS,5,383.16789443466627,193.18516243161594,1.983423000046915,Aug,Aug,0
Kuwait,KWT,7,0.0,1.5808421225289153,0.0,Jan,Nov,2
Kyrgyzstan,KGZ,37,1499.372981196352,1773.2300511078192,0.8455603266252024,Aug,Aug,0
Laos,LAO,40,41177.6156479774,55965.25577743002,0.7357710614553062,Mar,Mar,0
Latvia,LVA,21,1813.3657537007214,549.9135017346492,3.297547246940898,Apr,Apr,0
Lebanon,LBN,4,722.8084063223741,92.0145479130071,7.8553709464044275,Jul,Jun,1
Lesotho,LSO,8,1051.8211420168964,1041.8697361407571,1.0095514876101506,Sep,Aug,1
Liberia,LBR,18,18366.35111144494,13485.914298345433,1.3618914302086496,Mar,Mar,0
Libya,LBY,180,1072.0563596117786,55.26765843284022,19.397535376218496,Jul,Oct,3
Liechtenstein,LIE,1,3.7227984256690267,0.02055098938100448,181.14935279515316,Apr,Mar,1
Lithuania,LTU,19,4119.783512677036,473.0473448421614,8.709029989485845,Apr,Apr,0
Luxembourg,LUX,4,64.49167503137485,3.0699422193154278,21.007455653597276,Apr,Aug,4
Macao S.A.R,MAC,1,2.2937560786388844,0.07295083253527912,31.442493511360833,Nov,Dec,1
Madagascar,MDG,75,123558.53499883639,133950.04819535252,0.922422475120269,Oct,Oct,0
Malawi,MWI,23,27482.199959600315,29232.42696514293,0.9401272084719614,Sep,Sep,0
