attempt_id,model_family,stage,artifact_kind,source_path,git_blob,archive_path,declared_model,parameter_count,record_count,first_seen_commit,first_seen_date,history_refs
curing:b7703a6c2a29:models/C/params.coupledE_cure.json,curing,committed-parameter-set,model-parameters,models/C/params.coupledE_cure.json,b7703a6c2a295eda8db73a6132d6704ff4b068ce,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_cure.b7703a6c2a295eda8db73a6132d6704ff4b068ce.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),21,13,fa6195ea29a75b090c7c29a002aaa71c1751dbae,2026-07-25T01:05:39-04:00,coupled-refit-gfed5
coupled-E:3fa31ff08df2:models/C/params.coupledE_eur.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_eur.json,3fa31ff08df271afbd5d337087b8cc3ae1da395d,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_eur.3fa31ff08df271afbd5d337087b8cc3ae1da395d.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,a71c1440187be918adebfd8db43fb83be18c1226,2026-07-23T12:01:43-04:00,coupled-refit-gfed5
coupled-E:799acb0f9783:models/C/params.coupledE_fx.json,coupled-E,committed-parameter-set,model-parameters,models/C/params.coupledE_fx.json,799acb0f978372c21cac211f340df55e06eb71c5,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.799acb0f978372c21cac211f340df55e06eb71c5.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,13,a71c1440187be918adebfd8db43fb83be18c1226,2026-07-23T12:01:43-04:00,coupled-refit-gfed5
coupled-E:4849387b8808:models/C/params.coupledE_fx.k1.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k1.json,4849387b88084bab8ba8daa590f35350bdc5044a,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k1.4849387b88084bab8ba8daa590f35350bdc5044a.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:c97d38990ef8:models/C/params.coupledE_fx.k2.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k2.json,c97d38990ef8f585a771193536743286d30b6190,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k2.c97d38990ef8f585a771193536743286d30b6190.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:89c65027b4da:models/C/params.coupledE_fx.k3.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k3.json,89c65027b4da6d7f1b5f63eb6deab42fdc3553bc,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k3.89c65027b4da6d7f1b5f63eb6deab42fdc3553bc.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:6c89bd618b5a:models/C/params.coupledE_fx.k4.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k4.json,6c89bd618b5a02c7fb727da53321c45ae5f6b8b1,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k4.6c89bd618b5a02c7fb727da53321c45ae5f6b8b1.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:dfd33389c47c:models/C/params.coupledE_fx.k5.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k5.json,dfd33389c47cf0ac12c594a64a2ef3285a99607c,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k5.dfd33389c47cf0ac12c594a64a2ef3285a99607c.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
coupled-E:40040ba6ca70:models/C/params.coupledE_fx.k6.json,coupled-E,optimizer-checkpoint,model-parameters,models/C/params.coupledE_fx.k6.json,40040ba6ca703002e74aff64d96f6f3a0e4bb307,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_fx.k6.40040ba6ca703002e74aff64d96f6f3a0e4bb307.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),16,17,3fb01b4a06f1eddc8f9ac0ed73788ab6ee8f57bb,2026-08-18T03:46:27-04:00,coupled-refit-gfed5
F:749a8fd72673:models/C/params.coupledE_gdp.json,F,committed-parameter-set,model-parameters,models/C/params.coupledE_gdp.json,749a8fd7267331a5e767acbc679758a996715462,model/other-models/commit-artifacts/by-path/models/C/params.coupledE_gdp.749a8fd7267331a5e767acbc679758a996715462.json,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target),17,13,f5c99af32bba749ff2d9c17c445caeb1e01a9e6d,2026-07-24T02:48:47-04:00,coupled-refit-gfed5
