Model,Bias,RMSE,Seasonal,Spatial,Overall
ED-stock,0.621668,0.466119,0.467363,0.16578,0.43741
Model-C,0.697757,0.475982,0.821355,0.762757,0.646767
Model-D,0.690238,0.498022,0.818447,0.798483,0.660643
Model-E,0.747851,0.482163,0.775434,0.874661,0.672454
