path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.G_NAmerica.json,35edf5623f7c23580a4f0dfcd77226b194fb784ecf5a0139c0ddb79453bcda24,1557,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_NAmerica.k1.json,8297ba82199647d3ae7187e28baf53ad9c55b0154ac2ff2741365beadd06a68e,1673,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_NAmerica.k2.json,e2b9b13b98238f04aac3f3e365581b421ace4beb504cf831ab2dab61839cb308,1675,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_NAmerica.k3.json,4d63ae3c79a997744b80a7cbe04b69471742d4f21bf49cde235eb71e1930f0b0,1674,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_NAmerica.k4.json,e08a197758fbcaff5b91025734470eeb43fa27c9e5e584308ef06975533e051e,1675,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SAmerica.json,ab656cb5582cd4de23003d666a538aa7ab8c53ec1bf7868889d4e205f9f0f3f1,1561,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SAmerica.k1.json,a902dd2ec835409557c1043048c30ac0254c3335c020001bf17bb1e49068c14e,1678,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SAmerica.k2.json,947770d94d707ace584c103e612aa7dd9c64bf9e47a5adb46f0c8dfdef2b870e,1671,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SAmerica.k3.json,9ff617e0821307dd8d5210bb5057e617f2e6db111e366a41373e861721c6173d,1681,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_SAmerica.k4.json,64a4625eef6b32a10077e6f12c9d22c67f01cfe13bda9a4e390bc59c95bf4557,1678,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
